葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
马丁酒庄庄园蛇龙珠干红葡萄酒,1098,"Martin Vineyard Cabernet Gernischt, Huailai, China",红葡萄酒,马丁酒庄,"('蛇龙珠',)",樱桃草莓紫罗兰石榴,马丁酒庄庄园蛇龙珠干红葡萄酒采用具有上亿年的沙城古泥河化石土壤精心培育的二十年以上的老树龄葡萄酿造，并且经过橡木桶两年低温窖藏，瓶中熟成一年而成。这款葡萄酒口感奔放、酒香浓郁、酒体硬朗、活力四射，黑色小浆果、樱桃、草莓、紫罗兰、石榴、椰子的清新诱人香气层层展现，可以迅速点燃隐藏在人们内心深处欢乐和悸动的火花。
马丁酒庄庄园高级珍藏干红葡萄酒,1082,"Martin Vineyard Senior Reserve Dry Red, Huailai, China",红葡萄酒,马丁酒庄,"('赤霞珠', '蛇龙珠')",黑醋栗覆盆子黑胡椒蘑菇,这款葡萄酒澄清透亮，瓶储的陈酿香气，突出典型的黑醋栗、覆盆子、黑胡椒及蘑菇等香气，还伴随烘烤橡木香和香草味道。葡萄酒酸涩平衡，具有较长的柔软的涩感。
马丁酒庄庄园POP赤霞珠干红葡萄酒,956,"Martin Vineyard POP Cabernet Sauvignon, Huailai, China",红葡萄酒,马丁酒庄,"('赤霞珠',)",黑樱桃黑李子,这款葡萄酒呈明亮的宝石红，闻之富含红色水果香气，入口圆润，极具活力，最适宜搭配烤肉、家禽和酱香食品。
马丁酒庄庄园特别珍藏干红葡萄酒,788,"Martin Vineyard Special Reserve Dry Red, Huailai, China",红葡萄酒,马丁酒庄,"('赤霞珠', '蛇龙珠')",黑醋栗覆盆子黑胡椒蘑菇,这款葡萄酒呈澄清透亮的宝石红色，酒体丰满，层次丰富，口感明快，极富活力与激情，回味悠长，韵味十足。举杯轻饮，仿佛雨过天晴后穿越夏秋郁郁葱葱的果林。
马丁酒庄庄园臻品窖藏干红葡萄酒,1099,"Martin Vineyard Premium Celler Reserve Dry Red, Huailai, China",红葡萄酒,马丁酒庄,"('梅洛', '赤霞珠')",黑色水果青草蘑菇,这款葡萄酒呈迷人的深宝石红色，开瓶具有复杂的香气，随着时间变化，酒香也在逐渐演变，香气层层展现，甚为迷人，入口后，酒体饱满，单宁收缩均匀有序，结构柔美，回味悠长，具有较强的陈年潜力。
马丁酒庄高级珍藏赤霞珠干红葡萄酒,792,"Martin Vineyard Senior Reserve Cabernet Sauvignon, Huailai, China",红葡萄酒,马丁酒庄,"('赤霞珠',)",黑醋栗覆盆子黑加仑烟草,马丁酒庄高级珍藏赤霞珠干红葡萄酒以酒庄十年以上树龄的赤霞珠为原料，选用晚熟的葡萄，经过橡木桶一年半低温窖藏，瓶中熟成一年而成。该葡萄酒澄清透亮，闻之富含典型的黑醋栗、覆盆子、黑胡椒、蘑菇等香气，还伴随烘烤橡木香和香草味道，酸涩平衡，具有较长的柔软的涩感。
马丁酒庄三星赤霞珠干红葡萄酒,588,"Martin Vineyard 3-Star Cabernet Sauvignon, Huailai, China",红葡萄酒,马丁酒庄,"('赤霞珠',)",红色水果青草,马丁酒庄三星赤霞珠干红葡萄酒采用酒庄产出的优质葡萄，以酒庄传统酿造法精心酿制，浸泡与发酵的过程都被严格控制。该款葡萄酒口感醇厚协调，酒体丰满，风格典型独特，尽显马丁酒庄精品酒的卓越品质。
马丁酒庄至尊珍藏赤霞珠干红葡萄酒,1327,"Martin Vineyard Grand Reserve Cabernet Sauvignon, Huailai, China",红葡萄酒,马丁酒庄,"('赤霞珠',)",黑醋栗覆盆子黑胡椒蘑菇,马丁酒庄至尊珍藏赤霞珠干红葡萄酒特别精选酒庄十年以上树龄的赤霞珠为原料，选用晚熟的葡萄，经过橡木桶两年低温窖藏，瓶中熟成一年而成。该葡萄酒呈澄清透的亮宝石红，黑醋栗、覆盆子、黑胡椒、蘑菇等芬芳颇为浓郁。葡萄酒口味成熟，单宁丰富，入口圆润，具有强壮的酸度和涩感，可长期陈酿瓶储。
马丁酒庄五星赤霞珠干红葡萄酒,1067,"Martin Vineyard 5-Star Cabernet Sauvignon, Huailai, China",,马丁酒庄,"('赤霞珠',)",黑胡椒蘑菇香草,马丁酒庄五星赤霞珠干红葡萄酒以酒庄十年以上树龄的赤霞珠为原料，选用晚熟的葡萄，经过橡木桶一年低温窖藏，瓶中熟成一年而成。该款葡萄酒酒体丰满，层次丰富，口感明快，极富活力与激情，回味悠长，韵味十足。
马丁酒庄四星赤霞珠干红葡萄酒,763,"Martin Vineyard 4-Star Cabernet Sauvignon, Huailai, China",红葡萄酒,马丁酒庄,"('赤霞珠',)",红色水果咖啡可可香草,马丁酒庄四星赤霞珠干红葡萄酒以酒庄十年以上树龄的赤霞珠为原料，选用晚熟的葡萄，经过橡木桶半年低温窖藏，瓶中熟成一年而成。葡萄酒呈深紫色丝绸般的光泽，成熟的红果香气带有丝丝青草味道，入口后柔顺平滑，有精致感，活力充足，单宁柔和优雅，和各种红肉和芝士都能完美搭配。
马丁酒庄庄园丽致干白葡萄酒,799,"Martin Vineyard Lizhi Dry White, Huailai, China",白葡萄酒,马丁酒庄,"('霞多丽',)",柑橘奶油,该款葡萄酒酒液呈淡黄色，葡萄酒中富含绿色水果的香气，兼有奶油味，果味芬芳，酒氛浓郁，香气清新自然，淡柑橘果味使得酒液口感均衡，色泽明丽。配以海鲜类的菜肴口味绝佳。
辉煌云上酒庄庄主珍藏干红葡萄酒,4648,"Chateau Nuage Master’ Collection Dry Red, Huailai, China",红葡萄酒,辉煌云上酒庄,(),樱桃草莓覆盆子,辉煌云上酒庄庄主珍藏干红葡萄酒由云上葡萄园种植的优质葡萄酿造而成，果香馥郁，酒香协调。
今朝美庄园赤霞珠干红葡萄酒,1010,"Jin Zhao Mei Cabernet Sauvignon, Changli, China",红葡萄酒,今朝美长城葡萄酒业,"('赤霞珠',)",黑醋栗樱桃,这款葡萄酒选用法国名种葡萄赤霞珠精酿而成。该酒呈亮丽的宝石红色，澄清透明，具有幽雅芬芳的果香和协调清新的酒香，饮后适口，余味十足。
今朝美庄园十年树龄解百纳干红葡萄酒,860,"Jin Zhao Mei 10-Year Vine Cabernet, Changli, China",红葡萄酒,今朝美长城葡萄酒业,"('卡本内',)",成熟浆果香草咖啡,今朝美庄园解百纳干红葡萄酒，选用法国名种葡萄解百纳为原料，采用传统的酿造方法并经橡木桶窖藏而成。该酒呈宝石红色，口感柔顺爽口，酒体丰满醇和，果香幽雅清新。
今朝美庄园94窖藏精品干红葡萄酒,846,"Jin Zhao Mei 94 Cellar Aged Fine Dry Red, Changli, China",红葡萄酒,今朝美长城葡萄酒业,"('赤霞珠',)",黑加仑樱桃,这款葡萄酒选用法国名种葡萄赤霞珠精酿而成。该酒呈亮丽的宝石红色，澄清透明，具有幽雅芬芳的果香和协调清新的酒香，饮后适口，余味十足。
今朝美庄园雷司令干白葡萄酒,1462,"Jin Zhao Mei Riesling, Changli, China",白葡萄酒,今朝美长城葡萄酒业,"('雷司令',)",柠檬西柚杏桃,这款葡萄酒选用法国名种葡萄雷司令精酿而成。该酒呈浅金黄色，澄清透明，具有幽雅芬芳的果香和协调清新的酒香，饮后适口，余味十足。
今朝美庄园98赤霞珠干红葡萄酒,698,"Jin Zhao Mei 98 Cabernet Sauvignon, Changli, China",红葡萄酒,今朝美长城葡萄酒业,"('赤霞珠',)",黑醋栗蓝莓,这款葡萄酒选用法国名种葡萄赤霞珠精酿而成。该酒呈亮丽的宝石红色，澄清透明，具有幽雅芬芳的果香和协调清新的酒香，饮后适口，余味十足。
今朝美庄园001赤霞珠干红葡萄酒,1107,"Jin Zhao Mei 001 Cabernet Sauvignon, Changli, China",红葡萄酒,今朝美长城葡萄酒业,"('赤霞珠',)",黑醋栗蓝莓,这款葡萄酒选用法国名种葡萄赤霞珠精酿而成。该酒呈亮丽的宝石红色，澄清透明，具有幽雅芬芳的果香和协调清新的酒香，酒体醇厚，余味悠长。
今朝美庄园94精品干红葡萄酒,673,"Jin Zhao Mei 94 Fine Dry Red, Changli, China",红葡萄酒,今朝美长城葡萄酒业,"('赤霞珠',)",黑醋栗蓝莓,这款葡萄酒选用法国名种葡萄赤霞珠精酿而成。该酒呈亮丽的宝石红色，澄清透明，具有幽雅芬芳的果香和协调清新的酒香，饮后适口，余味十足。
今朝美庄园92五星干红葡萄酒,774,"Jin Zhao Mei 92 5-Star Dry Red, Changli, China",红葡萄酒,今朝美长城葡萄酒业,"('赤霞珠',)",黑醋栗樱桃,这款葡萄酒选用法国名种葡萄赤霞珠精酿而成。该酒呈亮丽的宝石红色，澄清透明，具有幽雅芬芳的果香和协调清新的酒香，饮后适口，余味十足。
怀来紫晶庄园丹边特选级霞多丽干白葡萄酒,1769,"Huailai Amethyst Manor Dan Bian Special Chardonnay, Huailai, China",白葡萄酒,怀来紫晶庄园,"('霞多丽',)",番石榴荔枝,这款葡萄酒由酿酒师IgnacRuppert精心酿制而成。葡萄酒呈浅稻秆色带鲜亮的绿色调，是一款新鲜、明亮且清新的酒，散发出新鲜的番石榴、荔枝等热带水果的清香，保留了非常明显的新鲜水果的味道。此酒酒体平衡，单宁柔和，口感温润顺滑，回味悠长。
怀来紫晶庄园丹边珍藏级赤霞珠干红葡萄酒,3094,"Huailai Amethyst Manor Dan Bian Reserve Cabernet Sauvignon, Huailai, China",红葡萄酒,怀来紫晶庄园,"('赤霞珠',)",李子浆果巧克力,这款葡萄酒精选怀来产区栽培的国际酿酒名种葡萄赤霞珠为原料，采用国际先进的设备和科学的酿造工艺，经庄园酿酒师精心酿制而成。此酒呈宝石红色、浓郁深厚和富有活力的莓红色，具有非常浓郁、成熟的李子及浆果的香气，并伴有巧克力气味，水果与橡木味达到优雅精致的平衡，回味与众不同。
怀来紫晶庄园丹边珍藏级梅洛干红葡萄酒,1018,"Huailai Amethyst Manor Dan Bian Reserve Merlot, Huailai, China",红葡萄酒,怀来紫晶庄园,"('梅洛',)",烘烤烟熏咖啡,这款葡萄酒呈深沉亮泽的红色，散发着纯正的芳香，完美地表达了葡萄品种的特质，淡雅的橡木香恰到好处，还有新鲜红色水果的芬芳及一些辛辣的基调，与咖啡的味道柔和在一起，入口柔顺，单宁味绵长，会慢慢呈现出少许的浆果甜味，具有教科书般梅洛的味道。
怀来紫晶庄园丹边典藏级霞多丽干白葡萄酒,1454,"Huailai Amethyst Manor Dan Bian Classic Reserve Chardonnay, Huailai, China",白葡萄酒,怀来紫晶庄园,"('霞多丽',)",荔枝番石榴坚果黄油,霞多丽是怀来产区表现最突出的葡萄品种之一。该款葡萄酒经100%匈牙利橡木新桶6个月的发酵，色泽呈浅稻秆色带鲜亮的绿色调，具有浓郁的水果芳香，伴有明显的坚果和黄油的复杂香气，饱满的酒体带有荔枝和番石榴等热带水果的香气，以及坚果、雪松和橡木气息，具有柔和的乳脂般的质感，回味平和而持久。
怀来紫晶庄园丹边庄主珍藏级西拉干红葡萄酒,3102,"Huailai Amethyst Manor Dan Bian Reserve Syrah, Huailai, China",红葡萄酒,怀来紫晶庄园,"('西拉',)",黑浆果香草肉桂,该款葡萄酒呈深紫红色，具有热情芬芳的黑浆果和香草的香气；口感十分充实，有明显的肉类美味；结构细腻，单宁丰富，平衡性好，是一款让人愉悦振奋的酒，建议搭配野味、烤鸭、红烧肉及奶酪等食物。
怀来紫晶庄园丹边桃红葡萄酒,1697,"Huailai Amethyst Manor Dan Bian Rose, Huailai, China",桃红葡萄酒,怀来紫晶庄园,(),蜂蜜水果糖玫瑰花,这是酿酒师Mr.GaborGardi利用了当地特有的玫瑰香品种做的一款桃红葡萄酒。酒色呈浅玫瑰红色，香气浓郁，蜂蜜、水果糖和玫瑰花的香气突出；入口酒体平衡，口感浓郁、回味悠久、果香饱满。
怀来紫晶庄园丹边典藏级赤霞珠干红葡萄酒,1212,"Huailai Amethyst Manor Dan Bian Classic Reserve Cabernet Sauvignon, Huailai, China",红葡萄酒,怀来紫晶庄园,"('赤霞珠',)",肉桂可可咖啡,这款葡萄酒经过100%匈牙利橡木新桶12个月的陈酿，颜色深红而又明亮，温柔地表达了红黑两色水果的香气，同时伴随着肉桂、可可和烘焙过的咖啡的芬芳。酒中柔和的酸为中等强度的酒体带来了清新、鲜活的口感，并体现了葡萄品种优良的特质，其愉悦的橡木味于最后呈现，酒香和橡木香和谐完美。
怀来紫晶庄园精丹边精选级赤霞珠干红葡萄酒,1342,"Huailai Amethyst Manor Dan Bian Premium Cabernet Sauvignon, Huailai, China",红葡萄酒,怀来紫晶庄园,"('赤霞珠',)",黑樱桃紫罗兰咖啡可可,这款葡萄酒精选怀来产区栽培的国际酿酒名种葡萄赤霞珠为原料，采用国际先进的设备和科学的酿造工艺，经庄园酿酒师精心酿制而成。该酒酒色呈宝石红，颜色深重且透亮，酒体中等，单宁如丝般柔顺，酸度适中，余味持久，富有成熟的果香。
怀来紫晶庄园丹边特选级赤霞珠干红葡萄酒,4573,"Huailai Amethyst Manor Dan Bian Special Cabernet Sauvignon, Huailai, China",红葡萄酒,怀来紫晶庄园,"('赤霞珠',)",李子黑胡椒可可巧克力,这款赤霞珠来自中国河北的怀来产区，采用国际先进的设备和科学的酿造工艺，经庄园酿酒师精心酿制而成。此酒呈深宝石红色，散发着黑胡椒、成熟李子和可可的香气，口感柔顺。
怀来紫晶庄园丹边特选级梅洛干红葡萄酒,1210,"Huailai Amethyst Manor Dan Bian Special Merlot, Huailai, China",红葡萄酒,怀来紫晶庄园,"('梅洛',)",黑胡椒李子可可果,怀来产区温暖的白昼和凉爽的夜晚是梅洛生长成熟的理想环境。本款葡萄酒呈深宝石红色、亮度很好，香气幽雅、强烈且果味香浓，带有强烈的黑胡椒、成熟李子和可可果的香味；口感柔顺，收尾和谐，回味悠长。
益利西拉干红葡萄酒,2335,"Yili Syrah, Huailai, China",红葡萄酒,益利葡萄酒,"('西拉',)",黑醋栗红醋栗樱桃,这款葡萄酒是选用怀涿盆地优质西拉葡萄为原料，经先进的工艺技术控温发酵酿制而成的干型葡萄酒。该酒具有西拉品种典型的黑醋栗和红醋栗的香气，口感细腻，是一款令感官充满愉悦的佳酿。
益利五星橡木桶陈酿赤霞珠干红葡萄酒,947,"Yili 5-Star Barrel Aged Cabernet Sauvignon, Huailai, China",红葡萄酒,益利葡萄酒,"('赤霞珠',)",成熟水果香草烟熏,这款葡萄酒选取涿盆地优质赤霞珠葡萄为原料，经先进工艺技术控温发酵酿制，并在橡木桶中陈酿而成。葡萄酒酒体呈宝石红色，酒中带有明显的成熟水果香气，还伴有香草和橡木等香气，酒体饱满，口感圆润。
益利1993窖藏臻品干红葡萄酒,1013,"Yili 1993 Cellar Aged Fine Cabernet Sauvignon, Huailai, China",红葡萄酒,益利葡萄酒,"('赤霞珠',)",成熟水果香草咖啡,该产品系选用名种葡萄原料，采用先进工艺技术控温发酵而成。酒体呈深宝石红色，香气柔和，复杂而细腻，口感醇厚宽广，层次分明，结构感强，具有高贵典雅的品质。
益利长相思干白葡萄酒,1255,"Yili Sauvignon Blanc, Huailai, China",白葡萄酒,益利葡萄酒,"('长相思',)",热带水果花香,这款葡萄酒是选用怀涿盆地种植的长相思葡萄为原料，经先进的工艺技术控温发酵酿制而成的干型葡萄酒。该酒呈浅黄色，并伴有热带水果香及花香，口感清新，流畅，富有层次感。
益利霞多丽干白葡萄酒,842,"Yili Chardonnay, Huailai, China",白葡萄酒,益利葡萄酒,"('霞多丽',)",柑橘甜瓜,这款葡萄酒是选用怀涿盆地种植的霞多丽葡萄为原料，经先进的工艺技术控温发酵酿制而成的干型葡萄酒，具有沙城产区霞多丽优质葡萄酒的特性。该酒呈浅黄色，果香浓郁，口感清爽。
益利赤霞珠干红葡萄酒,1915,"Yili Cabernet Sauvignon, Huailai, China",红葡萄酒,益利葡萄酒,"('赤霞珠',)",黑加仑黑樱桃,这款葡萄酒采用沙城产区种植的优质赤霞珠酿制而成。该酒呈亮丽的宝石红，闻之富含红色水果的香气，单宁顺滑，口感圆润饱满。
益利一星赤霞珠干红葡萄酒,865,"Yili 1-Star Cabernet Sauvignon, Huailai, China",红葡萄酒,益利葡萄酒,"('赤霞珠',)",香草黑加仑青椒,这款葡萄酒选取涿盆地优质赤霞珠葡萄为原料，经先进工艺技术控温发酵酿制而成。该酒呈亮丽的宝石红，酒体醇厚，层次突出，单宁强劲细腻，入口圆润。
益利三星橡木桶陈酿赤霞珠干红葡萄酒,717,"Yili 3-Star Barrel Aged Cabernet Sauvignon, Huailai, China",红葡萄酒,益利葡萄酒,"('赤霞珠',)",黑樱桃黑加仑香草,这款葡萄酒选取涿盆地优质赤霞珠葡萄为原料，经先进工艺技术控温发酵酿制，并在橡木桶中陈酿而成。葡萄酒酒体呈宝石红色，酒中带有明显的成熟水果香气，还伴有香草和橡木等香气，酒体饱满，口感圆润。
益利10年赤霞珠干红葡萄酒,720,"Yili 10-Year-Old Cabernet Sauvignon, Huailai, China",红葡萄酒,益利葡萄酒,"('赤霞珠',)",黑醋栗香草烧烤,这款葡萄酒是选用怀涿盆地优质赤霞珠葡萄为原料，经先进的工艺技术控温发酵酿制而成的干型葡萄酒。该酒具有葡萄的果香和幽雅的酒香，滋味醇厚，微酸适口，用其佐餐肉制品更具独特风味。
益利蛇龙珠干红葡萄酒,1277,"Yili Cabernet Gernischt, Huailai, China",红葡萄酒,益利葡萄酒,"('蛇龙珠',)",樱桃草莓紫罗兰,该款葡萄酒由产自沙城产区的蛇龙珠酿制而成，酒体呈宝石红色，酒香浓郁，富含成熟水果香气，如樱桃、草莓，还有紫罗兰等清新诱人的香气，适合搭配煎烤、蒸煮等肉类。
益利二星赤霞珠干红葡萄酒,795,"Yili 2-Star Cabernet Sauvignon, Huailai, China",红葡萄酒,益利葡萄酒,"('赤霞珠',)",黑樱桃黑醋栗香草,这款葡萄酒选取怀涿盆地优质赤霞珠葡萄为原料，经先进工艺技术控温发酵酿制而成。该葡萄酒具有深紫色丝绸一样光泽，呈宝石红色，活力充足，单宁柔和优雅，最适宜搭配烤肉、家禽和酱香食品。
益利梅洛干红葡萄酒,1054,"Yili Merlot, Huailai, China",红葡萄酒,益利葡萄酒,"('梅洛',)",蓝莓桑椹,这款葡萄酒采用沙城产区种植的优质梅洛葡萄酿制而成，酒体呈清澈的石榴红，水果香气，如蓝莓、桑椹的香气突出，酸度适中，酒体适中。
益利三星赤霞珠干红葡萄酒,683,"Yili 3-Star Cabernet Sauvignon, Huailai, China",红葡萄酒,益利葡萄酒,"('赤霞珠',)",黑色水果甘草烟熏,这款葡萄酒选取涿盆地优质赤霞珠葡萄为原料，经先进工艺技术控温发酵酿制而成。该酒色泽为美丽的深宝石红色，果香怡人，口感如丝般柔顺，富有层次感，酒香醇厚，回味无穷。
益利7年窖藏蛇龙珠干红葡萄酒,862,"Yili 7-Year Cellar Aged Cabernet Gernischt, Huailai, China",红葡萄酒,益利葡萄酒,"('蛇龙珠',)",成熟水果甘草香料,这款葡萄酒是选用优质蛇龙珠葡萄为原料，经先进的工艺技术控温发酵酿制而成的干型葡萄酒。该酒具有葡萄的果香和幽雅的酒香，滋味醇厚，微酸适口，用其佐餐肉制品更具独特风味。
益利15年高级窖藏干红葡萄酒,1050,"Yili 15-Year-Old Cabernet Sauvignon, Huailai, China",红葡萄酒,益利葡萄酒,"('赤霞珠',)",成熟水果香草咖啡,这款葡萄酒是选用怀涿盆地优质赤霞珠葡萄为原料，经先进的工艺技术控温发酵酿制而成的干型葡萄酒。该酒具有葡萄的果香和幽雅的酒香，滋味醇厚，微酸适口，用其佐餐肉制品更具独特风味。
益利12年赤霞珠干红葡萄酒,1485,"Yili 12-Year-Old Cabernet Sauvignon, Huailai, China",红葡萄酒,益利葡萄酒,"('赤霞珠',)",成熟水果香草烘烤,这款葡萄酒是选用怀涿盆地优质赤霞珠葡萄为原料，经先进的工艺技术控温发酵酿制而成的干型葡萄酒。该酒具有葡萄的果香和幽雅的酒香，滋味醇厚，微酸适口，用其佐餐肉制品更具独特风味。
越千年美乐干红葡萄酒,860,"Yue Qian Nian Merlot, Changli, China",红葡萄酒,越千年葡萄酒,"('梅洛',)",红樱桃草莓,这款葡萄酒选用梅洛酿制而成，呈现深邃的宝石红色，成熟的果香混合着橡木桶香气，层次丰富，口感细腻，酒质醇厚，结构平衡，回味悠长。
越千年新四钻赤霞珠干红葡萄酒,632,"Yue Qian Nian New 4-Diamond Cabernet Sauvignon, Changli, China",红葡萄酒,越千年葡萄酒,"('赤霞珠',)",黑胡椒成熟浆果,这款葡萄酒呈深宝石红色，略带紫色调，澄清透明，有浓郁优雅的果香及黑胡椒和成熟浆果的香气，饱满醇厚，结构感强，适合搭配烤鸭、牛排、红烧、煎炸等食物饮用。
越千年玫瑰香桃红葡萄酒,799,"Yue Qian Nian Rose Aroma Rose, Changli, China",桃红葡萄酒,越千年葡萄酒,(),夏日浆果玫瑰花瓣,这款葡萄酒具有亮丽的桃红色，散发着夏日浆果和玫瑰花瓣香气，清爽而充满活力，丰富爽脆、余味清新。
越千年3A级赤霞珠干红葡萄酒,689,"Yue Qian Nian 3A Level Cabernet Sauvignon, Changli, China",红葡萄酒,越千年葡萄酒,"('赤霞珠',)",黑胡椒黑樱桃,这款葡萄酒呈宝石红色，澄清透明，有光泽，有淡淡的黑胡椒香及浓郁的酒体，圆润柔和，回味悠长，适合搭配烤鸭、牛排、红烧、煎炸等食物饮用。
越千年蓝标赤霞珠干红葡萄酒,532,"Yue Qian Nian Blue Label Cabernet Sauvignon, Changli, China",红葡萄酒,越千年葡萄酒,"('赤霞珠',)",黑樱桃黑加仑胡椒,这款葡萄酒由甄选赤霞珠精酿而成。该酒呈深宝石红，澄清透明，有优雅浓郁的酒香及奶香，饱满柔和，口感细腻，适宜搭配各种卤汁料理。
越千年4A级赤霞珠干红葡萄酒,638,"Yue Qian Nian 4A Level Cabernet Sauvignon, Changli, China",红葡萄酒,越千年葡萄酒,"('赤霞珠',)",烟熏青椒浆果,这款葡萄酒呈深宝石红色，澄清透明，香气浓郁优雅，有烟熏味、青椒香及浆果香气，圆润醇厚，单宁丰满坚实，回味绵长，适合搭配烤鸭、牛排、红烧、煎炸等食物饮用。
越千年贵人香干白葡萄酒,564,"Yue Qian Nian Riesling Italico, Changli, China",白葡萄酒,越千年葡萄酒,"('意大利雷司令',)",菠萝白桃,这款葡萄酒是经低温发酵工艺精心酿制而成的一种新型白葡萄酒，具有优雅怡人的新鲜水果的芳香，清新爽口、果香浓郁，适度而柔和的酸度味道清新雅致。
越千年霞多丽干白葡萄酒,533,"Yue Qian Nian Chardonnay, Changli, China",白葡萄酒,越千年葡萄酒,"('霞多丽',)",柑橘柠檬白桃青草,这款葡萄酒呈亮丽的禾杆黄色，澄清透明，富含柑橘类水果的香气，并伴有些许青草的气息，口感醇厚柔和，适宜与鸡肉、鱼肉和意大利面等食物搭配。
