葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
张裕卡斯特酒庄特选蛇龙珠干红葡萄酒,2048,"Chateau Changyu-Castel Special Selection Cabernet Gernischt Dry Red Wien, Yantai,China",红葡萄酒,张裕卡斯特酒庄,"('蛇龙珠',)",,这款葡萄酒以蛇龙珠为主要原料，运用欧洲传统工艺与现代设备精心酿造，在法国橡木桶中贮藏2年以上。本品呈深宝石红色，澄清晶亮，具浓郁的酒香、和谐的醇香与橡木香气，诸香协调，相得益彰，滋味醇厚，酒体丰满、肥硕，风格典型独特。
张裕卡斯特酒庄特选霞多丽干白葡萄酒,1861,"Chateau Changyu-Castel Special Selection Chardonnay Dry White Wine, Yantai, China",白葡萄酒,张裕卡斯特酒庄,"('霞多丽',)",清香怡人圆润柔滑,这款葡萄酒选用优良干白酿酒葡萄品种，采用传统工艺，酿造设备先进。张裕卡斯特酒庄霞多丽干白葡萄酒果香浓郁、风格高雅、风味清香怡人，具有微酸爽口，圆润柔滑的口感，加上橡木桶带来的淡淡金黄颜色，增添了华贵气氛。
张裕卡斯特酒庄霞多丽干白葡萄酒,1601,"Chateau Changyu-Castel Chardonnay Dry White Wien, Yantai,China",白葡萄酒,张裕卡斯特酒庄,"('霞多丽',)",细腻雅致，柔顺爽口,本品酒色浅金黄色，澄清透明，具优美的椴树花、炒杏仁香气，果香与橡木香完美融合，细腻雅致，柔顺爽口，体现出尊贵与雍容的不凡气质，风格典型独特，实为酒中珍品。
张裕卡斯特酒庄99高级雷司令干白葡萄酒,1036,"Chateau Changyu-Castel Supremes 99 Dry White Wien, Yantai,China",白葡萄酒,张裕卡斯特酒庄,"('雷司令',)",果香浓郁、风格高雅,这款葡萄酒选用世界著名的雷司令葡萄品种，采用先进工艺技术酿造而成.果香浓郁、风格高雅、具有微酸爽口，悦怡的特色，有效地保存了雷司令葡萄的营养成分。
张裕卡斯特酒庄蛇龙珠红葡萄酒,1599,"Chateau Changyu Castel Cabernet Gernischz, Yantai, China",红葡萄酒,张裕卡斯特酒庄,"('蛇龙珠',)",,这是一款来自中国烟台的红葡萄酒，由蛇龙珠酿造而成。
台依湖赤霞珠干红葡萄酒,5047,"Taila Winery Carbernet Sauvignon, Shandong, China",红葡萄酒,台依湖酒庄,"('赤霞珠',)",果香浓郁,明亮的宝石红色，果香浓郁，整体平衡性强，单宁柔顺，中等偏轻的酒体，回味适中。
台依湖日思牌干红葡萄酒,3562,"Taila Winery Risi Dry Red Wine, Shandong, China",红葡萄酒,台依湖酒庄,"('品丽珠',)",,明亮的宝石红色，果香浓郁，整体平衡性强，单宁柔顺，中等偏轻的酒体，回味适中。
台依湖霞多丽干白葡萄酒,3495,"Taila Winery Chardonnay, Shandong, China",白葡萄酒,台依湖酒庄,"('霞多丽',)",,浅浅的麦秆黄，浓郁的果香花香，入口清新爽口，余味悠长，搭配海鲜口感更佳。
台依湖日思牌干白葡萄酒,3004,"Taila Winery Risi Dry White Wine, Shandong, China",白葡萄酒,台依湖酒庄,"('霞多丽',)",,浅浅的麦秆黄，浓郁的果香花香，入口清新爽口，余味悠长，搭配海鲜口感更佳。
泽义酒庄窖藏40°福斯特庄园白兰地,3196,"Chateau Zeyi Reserve Fusite 40° Brandy, Penglai, China",蒸馏酒,泽义酒庄,(),,外观澄澈透明，色泽呈金黄或赤金黄色，散发迷人光泽。具有葡萄品种香、陈酿橡木香和醇厚的酒香，优雅浓郁。滋味醇和、甘冽、沁润，细腻丰满绵延。
泽义酒庄40°盎格鲁VSOP白兰地,5806,"Chateau Zeyi 40° Angleon VSOP Brandy, Penglai, China",蒸馏酒,泽义酒庄,(),,盎格鲁VSOP白兰地采用上等原料结合传统工艺，由中国酿酒大师陈泽义先生亲自精心酿造而成，酒液金黄，香气馥郁、复杂、细腻、和谐，入口醇厚、丰盈。
泽义酒庄精选级12°福斯特庄园赤霞珠干红葡萄酒,2202,"Chateau Zeyi Selection Fusite 12° Cabernet Sauvignon, Penglai, China",红葡萄酒,泽义酒庄,"('赤霞珠',)",果香浓郁,呈现美丽沉稳的深宝石红色，香气浓郁，口感醇和、柔和适口、余味绵长，有着成熟果香和酒香。
泽义酒庄优选级12°福斯特庄园赤霞珠干红葡萄酒,1506,"Chateau Zeyi Optimal Choice Fusite 12° Cabernet Sauvignon, Penglai, China",红葡萄酒,泽义酒庄,"('赤霞珠',)",,选用优良的赤霞珠葡萄酿造而成，呈现深宝石红色，澄亮透明，果香浓郁。
泽义酒庄窖藏38°福斯特庄园白兰地,1063,"Chateau Zeyi Reserve Fusite 38° Brandy, Penglai, China",蒸馏酒,泽义酒庄,(),,外观澄澈透明，色泽呈金黄或赤金黄色，散发迷人光泽。具有葡萄品种香、陈酿橡木香和醇厚的酒香，优雅浓郁。滋味醇和、甘冽、沁润，细腻丰满绵延。
古顶酒庄生活馆赤霞珠干红葡萄酒,1772,"Chateau Guding Life Hall Cabernet Sauvignon, Penglai, China",红葡萄酒,古顶酒庄,"('赤霞珠',)",黑樱桃咖啡橡木风味,中度宝石红色，酒色清澈。黑樱桃的气味浓重，随之而来的是咖啡的浓香，口感饱满，热情，真实，单宁柔滑细腻。
古顶酒庄庄主优选赤霞珠干红葡萄酒,4797,"Chateau Guding Master Selection Cabernet Sauvignon, Penglai, China",红葡萄酒,古顶酒庄,"('赤霞珠',)",红色浆果坚果,深宝石红色，红色水果的果味比较突出，结构厚实，变化较为复杂，赤霞珠的典型性表现较好。
古顶酒庄庄主特选赤霞珠干红葡萄酒,2343,"Chateau Guding Superior Selection Cabernet Sauvignon, Penglai, China",红葡萄酒,古顶酒庄,"('赤霞珠',)",果香橡木风味,本酒品优选古顶庄园特色葡园栽培的国际酿酒名种葡萄赤霞珠为原料精酿而成。色泽呈宝石红色，澄清透明，果香细微清雅，酒香醇美优润，淡雅的橡木香在细腻丹宁的映衬下隽永怡人，结构饱满、口感纯正、回味悠长，是符合国际标准的特选级酒庄葡萄酒。
金色时代庄园酿酒师梦想梅洛干红葡萄酒,2916,"Golden Times Fazenda Winemaker Dream Merlot, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('梅洛',)",黑莓樱桃,宝石红色到石榴红色。有蓬莱七大海岸阳光的感觉，散发着黑莓、樱桃和干药草的香气。滋味复杂，丰醇，但回味滑润、悠长。
金色时代大师品鉴S8赤霞珠干红葡萄酒,1303,"Gold Period Maestro Tasting S8 Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",黑樱桃黑色浆果香草,这款葡萄酒呈黑樱桃色，略带紫色的光泽，散发着深色水果的气味，带有微微的香草味，酒体饱满，紧致，口感清爽，回味悠长。
金色时代庄园酿酒师执着梅洛干红葡萄酒,1365,"Golden Times Fazenda Winemaker Persistance Merlot, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('梅洛',)",黑樱桃黑醋栗巧克力,从深樱桃色到石榴红色，边缘呈宝石红色。明显，散发着黑樱桃、黑醋栗和巧克力的香气。圆润、丰满、精雅，复杂，单宁紧致，回味悠长。
金色时代夏酝霞多丽干白葡萄酒,983,"Gold Period Summer Chardonnay, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('霞多丽',)",苹果白桃哈密瓜,"浅金黄色泽,澄清晶亮。具有浓郁的果香。苹果、桃及哈密瓜的果香气息，清新怡人。口感柔和，圆滑柔和，清新爽口，酒体平衡。配芝士、海鲜、清蒸类风味最佳，亦可搭配其他食物或单独饮用。"
金色时代冬酿赤霞珠干红葡萄酒,919,"Gold Period Winter Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",黑醋栗李子黑莓,酒呈深红色。散发着成熟黑醋栗的味道以及李子干和黑莓的香气。酒体饱满，口感细腻圆润，极致高雅，余味悠长。配口味偏重的肉类菜肴、烧烤野味和奶酪风味最佳，独饮同样怡人。
金色时代庄园风范梅洛干红葡萄酒,973,"Golden Time Manor Style Merlot, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('梅洛',)",果味香料雪松,深宝石红色，陈酿后变为黑樱桃色，透明度极好。浓郁的水果味和香料的香味，经过一段时间，散发着雪松、调料的香气。结构完美，丰醇，圆润，但又强劲、浓烈。
金色时代庄园风范蛇龙珠干红葡萄酒,1065,"Golden Time Manor Style Cabernet Gernischt, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('蛇龙珠',)",樱桃草莓,清澈的红色，闪烁着斑斓的折光，其潜藏的草莓、樱桃的复合果香，随着藏酿而弥漫，劲力和细腻出色的均衡，成熟酸味充盈口腔，十分甘美和浓郁，即使放下酒杯几分钟，依然齿颊留香，它那久久不散的香气和美味更使人难以忘怀。
金色时代秋实赤霞珠干红葡萄酒,1267,"Gold Period Autumn Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",果香浓郁橡木风味,呈现深宝石红色。具有优美和谐的果香、酒香及橡木香味。口感醇厚，圆润柔顺，酒体丰满，有立体感，余味悠长。配红肉类菜肴风味极佳，独饮同样怡人。
金色时代鉴藏级大师品鉴S9干红葡萄酒,865,"Gold Period Reserve Meastro Tasting S9, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('梅洛', '赤霞珠')",黑莓香草咖啡黑胡椒,呈魅力深沉的红宝石色，闪烁石榴红光泽。酒香芬芳撩人，成熟的黑莓与香草、咖啡、黑胡椒、烟熏的香气交融。充满魅力的佳酿，辛香料味道留香唇齿间，酒体丰满而宽宏有力，极致高雅，回味悠远。
金色时代海岸庄园雷司令干白葡萄酒,972,"Gold Period Coast Manor Riesling, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('雷司令',)",苹果白桃菠萝烟熏,禾杆黄色，略带一丝银色，香气雅致，散发着苹果香、桃香、菠萝和隐隐的烟熏味。口感丰醇，柑橘味和爽口的酸性突出，回味悠长。
金色时代大师品鉴S9赤霞珠干红葡萄酒,1250,"Gold Period Maestro Tasting S9 Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",红色浆果黑醋栗,这款经典雅致的葡萄酒呈现鲜亮的深石榴红色，边缘呈红宝石色，散发着成熟的红色和黑色水果以及咖啡的香气，入口复杂而丰满，滋味浓烈，回味可口。
金色时代海岸庄园陈酿5年霞多丽干白葡萄酒,744,"Gold Period Coast Manor Aged 5 Years Chardonnay, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('霞多丽',)",柑橘苹果香草,呈黄绿色，带有一丝金色。散发着柑橘、苹果、异域水果和香草的香气。富有水果味，果味、酸度和酒精度平衡极佳。
金色时代庄园酿酒师天分霞多丽干白葡萄酒,767,"Golden Times Fazenda Winemaker Talent Chardonnay, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('霞多丽',)",梨子花香,浅金色中带有一丝绿色，透明度中等。纯净、精致，散发着梨香和花香。酸性清爽，和谐微妙，回味悠长
金色时代大师品鉴S3霞多丽干白葡萄酒,1109,"Gold Period Maestro Tasting S3 Chardonnay, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('霞多丽',)",果香浓郁,酒液微黄带绿晶亮透明，有着纯正自然的果香，酒香浓郁，口感醇厚。
金色时代庄园赤霞珠干红葡萄酒,726,"Golden Time Manor Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",香草梅子,该酒散发着甜美轻柔的香草和清新梅子的混合香气，口感丰满，酒体紧实，单宁醇厚。橡木桶的陈酿让这款酒的潜力被充分释放。不论是作为开胃酒还是搭配异域风情的烹饪都令人印象深刻。
金色时代庄园纵横赤霞珠干红葡萄酒,603,"Golden Time Manor Unconstrained Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",黑色浆果巧克力皮革,深石榴红色，边缘呈宝石红色。香气复杂，有雅致的黑色水果，巧克力、皮革、烟草的香味。口感浓郁，深厚，圆润，平衡，回味悠长，令人难忘。
金色时代庄园银奖霞多丽干白葡萄酒,577,"Golden Time Manor Silver Chardonnay, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('霞多丽',)",柑橘甜瓜醋栗菠萝,鲜艳、透亮，呈浅禾杆黄色，略带一丝绿色。香气浓烈，散发着柑橘、甜瓜、醋栗、菠萝等多种水果的香气。干、熟润、酸性明显、平衡；回味纯净，无尽。
金色时代庄园酿酒师天分梅洛干红葡萄酒,476,"Golden Times Fazenda Winemaker Talent Merlot, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('梅洛',)",黑色水果樱桃香料,透明度好，颜色深，呈深樱桃色。雅致，浓烈，散发着黑色水果、樱桃、香料的香气。丰醇、圆润、平衡佳，单宁和谐，回味纯净。
金色时代庄园霞多丽干白葡萄酒,662,"Golden Time Manor Chardonnay, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('霞多丽',)",柑橘醋栗菠萝,呈浅禾干黄色，略带一丝绿色。香味浓烈，散发着柑橘、醋栗、菠萝等多种水果香气。口感清爽、平衡，酸性佳，平衡了水果味，回味纯净，愉悦、悠长。与海鲜搭配绝佳，与鱼和沙拉一起享用也非常好。
金色时代庄园珍酿赤霞珠干红葡萄酒,584,"Golden Time Manor Cuvee Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",黑莓李子,酒液呈宝石红色，具有典型的黑莓香气和李子的香气，果香、醇香和橡木香完美结合，层次感自然丰富，回味悠长。
金色时代海岸庄园橡木桶窖藏赤霞珠干红葡萄酒,2299,"Gold Period Coast Manor Cellar Oaked Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",黑醋栗巧克力香料,石榴红色，边缘呈宝石红色，透明度深。散发着黑醋栗、巧克力、甜香料的香气，成熟而雅致。口感精雅，美味，平衡极佳。
金色时代庄园酿酒师执着霞多丽干白葡萄酒,469,"Golden Times Fazenda Winemaker Persistance Chardonnay, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('霞多丽',)",苹果榛子,浅禾杆黄色，略带丝丝绿色。精雅，散发着苹果香、榛子香、矿石香。圆润、精美，平衡和谐，回味持久清爽。
金色时代庄园风范雷司令干白葡萄酒,922,"Golden Time Manor Style Riesling, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('雷司令',)",青草醋栗梨,呈浅禾杆黄色，略带一丝银色。新鲜、刺激，散发着青草香、醋栗香、热带水果和梨香。滋味浓烈、复杂，回味鲜美、悠长。
金色时代七大海岸赤霞珠干红葡萄酒,1255,"Gold Period Seven Coast Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",黑色浆果紫罗兰,深石榴红色，边缘呈紫色，香气雅致，散发着黑色水果、紫罗兰的香气。口感丰满、圆润，单宁浓郁，回味悠长。
金色时代庄园银奖长相思干白葡萄酒,1521,"Golden Time Manor Silver Sauvignon Blanc, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('长相思',)",苹果菠萝香草,色泽晶莹亮丽，清澈透明，散发着苹果、菠萝的成熟的芬芳和香草的香气，馥郁迷人；口感柔和，清新流畅，甘美舒顺，酒体均衡，余味悠长，独具风格。配餐建议:配海鲜、清蒸鱼类风味最佳。
金色时代大师品鉴S3赤霞珠干红葡萄酒,1453,"Gold Period Maestro Tasting S3 Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",黑色浆果香草,这款葡萄酒呈现美丽幽深的红宝石色，黑色桨果的香气浓郁，融合着微妙的香草气息，酒香与橡木香协调一致。入口香气浓郁，单宁柔滑如丝酒体醇美和谐，给人无限遐思与回味。配猪、牛、羊等红肉类及奶酪风味最佳，独饮同样怡人。
金色时代海岸庄园陈酿5年蛇龙珠干红葡萄酒,921,"Gold Period Coast Manor Aged 5 Years Cabernet Gernischt, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('蛇龙珠',)",黑色浆果李子,很暗的黑红色，边缘呈宝石红色。香气突出，散发着黑色浆果，李子的香气。口感丰满、酸性清爽，单宁平衡，回味悠长。
金色时代庄园辉煌赤霞珠干红葡萄酒,814,"Golden Time Manor Brilliant Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",果香浓醇橡木风味,该酒呈深宝石红色，澄净晶亮，具有典型的品种香气，浓郁的醇香与橡木香气，协调，口味圆润，醇厚，酒体丰满，典型极强。
金色时代特选级霞多丽干白葡萄酒,680,"Gold Period Special Selection Chardonnay, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('霞多丽',)",苹果哈密瓜杏仁,悦目的浅金黄色中带出细微的绿色光泽。既有新鲜水果的浓郁芬芳，又有清幽的苹果、哈密瓜和杏仁的芳香。果香味气息充满味蕾，口感柔和圆滑，清闲舒爽，酒体均衡，余味悠长。
金色时代海岸庄园橡木桶珍酿干红葡萄酒,1021,"Gold Period Coast Manor Oaked Cuvee, Yantai, China",红葡萄酒,烟台时代葡萄酒,(),黑色水果果干,呈不透明的深色，边缘紫色，散发着果干和黑色水果的香气，口感浓烈，质地圆润成熟。
金色时代庄园酿酒师执着赤霞珠干红葡萄酒,611,"Golden Times Fazenda Winemaker Persistance Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",李子泥土香料,雅致的深石榴红色，边缘呈红宝石色。浓郁，散发着林地水果，成熟李子、泥土和香料的气息。滑润、复杂，极为平衡，滋味强烈，回味延绵不绝。
金色时代庄园窖藏15年干红葡萄酒,830,"Golden Times Fazenda Cellar Aged 15 Years Red Wine, Yantai, China",红葡萄酒,烟台时代葡萄酒,(),香草梅子,该酒散发着甜美轻柔的香草和清新梅子的混合香气，口感丰满，酒体紧实，单宁醇厚。橡木桶的陈酿让这款酒的潜力被充分释放。
金色时代庄园领袖赤霞珠干红葡萄酒,1134,"Golden Time Manor Leader Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",甘草无花果香料巧克力,呈深黑樱桃色，有果酱味，散发着干草、无花果、香料和巧克力的气息。酒体强劲、雅致，均衡、和谐，深厚、圆润，回味悠长。
金色时代庄园冰纯浓缩白葡萄酒,1099,"Golden Times Fazenda Ice Pure White Wine, Yantai, China",白葡萄酒,烟台时代葡萄酒,(),菠萝桃蜂蜜无花果,明快、鲜亮的禾杆黄色，略带绿色。香气精雅，散发着淡淡的菠萝、桃、蜂蜜、无花果的香气。口感香甜、微妙，醇厚、丰满，酸性和含蓄的甜味平衡和谐，回味纯净、清新、持久。口感比该酒稍弱的甜味菜点，乳酪，鹅肝或鹅肝酱。
金色时代庄园冰纯浓缩红葡萄酒,1006,"Golden Times Fazenda Ice Pure Red Wine, Yantai, China",红葡萄酒,烟台时代葡萄酒,(),菠萝蜂蜜巧克力甘草,鲜亮的浅宝石红色，略带紫色。散发着淡淡的菠萝、桃、蜂蜜、巧克力和甘草的香气。口感香甜、酸性微妙，酸性和含蓄的甜味平衡和谐，醇厚，回味纯净、清新、持久，美味均衡，可改善对食物的味觉，是难得的佳品。
金色时代春华赤霞珠干红葡萄酒,1160,"Gold Period Spring Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",果香浓郁橡木香气,带着宝石红色泽。有芬芳的果香和醇厚的酒香及优雅的橡木香。口感柔顺，滋味醇厚协调，柔和圆润，结构丰满，层次丰富。配口味偏重的肉类菜肴、烧烤野味和奶酪风味最佳，独饮同样怡人。
金色时代珍藏级大师品鉴S8赤霞珠干红葡萄酒,1193,"Gold Period Reserve Meastro Tasting S8 Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",樱桃蓝莓香草,这款葡萄酒呈现美丽深沉的红宝石色。酒香芬芳撩人，成熟的樱桃、蓝莓与香草、咖啡、黑胡椒、烟熏的香气交融。是一款充满魅力的佳酿，辛香料味道留香唇齿间，酒体丰满而宽宏有力，极致高雅，回味悠远。
金色时代精选级大师品鉴S6赤霞珠干红葡萄酒,573,"Gold Period Selection Maestro Tasting S6 Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",黑色浆果薄荷甜椒,晶莹通透，呈宝石红色。新鲜的黑色水果芳香持久，显露出薄荷和甜椒的气息。多种红色水果味，单宁柔和，酒体轻盈，口感平衡顺口，适应女士饮用。配白肉及红肉菜肴风味最佳，独饮同样怡人。
金色时代庄园酿酒师风格梅洛干红葡萄酒,456,"Golden Times Fazenda Winemaker Style Merlot, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('梅洛',)",樱桃香草,艳丽透亮的宝石红色，透明度中等。散发着樱桃以及其他红色水果的香气，还有微微的烟草和香草的香气。口感精雅，圆润、清新，单宁柔顺，回味中长。
金色时代典藏级赤霞珠干红葡萄酒,1873,"Gold Period Colletction Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",黑色浆果香草,呈美丽幽深的红宝石色。黑色桨果的香气浓郁，融合着微妙的香草气息，酒香与橡木香协调一致。口香浓郁，单宁柔滑如丝，酒体醇美和谐，给人无限遐思与回味。配猪、牛、羊等红肉类及奶酪风味最佳，独饮同样怡人。
金色时代庄园纵横高级干红葡萄酒,442,"Golden Time Manor Unconstrained Premium, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",深色浆果紫罗兰巧克力,深石榴红色，映射着红宝石色到橙色。散发着深色浆果、紫罗兰、林下灌木和巧克力的香气，口感极为和谐，酸性突出，水果滋味深厚。
金色时代庄园酿酒师风格霞多丽干白葡萄酒,559,"Golden Times Fazenda Winemaker Style Chardonnay, Yantai, China",白葡萄酒,烟台时代葡萄酒,"('霞多丽',)",苹果柑橘花香,浅浅的禾杆黄色，清透，鲜亮，清淡。散发着花草香、幽淡而不浓烈。有苹果味、柑橘味、余味稍有钢铁味，口感纯净。
金色时代特选级赤霞珠干红葡萄酒,597,"Gold Period Special Selection Cabernet Sauvignon, Yantai, China",红葡萄酒,烟台时代葡萄酒,"('赤霞珠',)",香草咖啡黑胡椒,美丽的红宝石色，闪烁石榴红光泽。酒香芬芳怡人，香草、咖啡、黑胡椒烟熏的香气纯正浓郁。充满魅力的佳酿，酒体丰满协调单宁适中柔顺，极致高雅，回味悠远。
南山庄园高尔夫西拉干红葡萄酒,2557,"Landsun Manor Golf Syrah Dry Red Wine, Yantai, China",红葡萄酒,南山庄园,"('西拉', '赤霞珠')",均衡精致余韵悠长,这款葡萄酒的酒液呈深宝石红色，优雅细腻的橡木香和浓郁的堇菜香气相得益彰，酒质均衡精致，口感醇厚肥硕，余韵悠长。其尊贵典雅的品质和高雅休闲的高尔夫运动浑然成为一体，适合搭配奶酪及红肉类食物。
南山庄园金版蛇龙珠红葡萄酒,2230,"Landsun Manor Golden Edition Cabernet Gernisht Red Wine, Yantai, China",红葡萄酒,南山庄园,"('蛇龙珠',)",圆润肥硕平衡协调,这款葡萄酒是由100%优质蛇龙珠控温浸渍发酵而成，橡木桶陈酿18个月。酒体呈现出漂亮的宝石红色，澄清有光泽，散发着甘草、胡椒及松木的香气，入口圆润肥硕，浓郁丰富，诸味平衡协调，彰显个性，适合搭配鸭类食物搭配，如潮州酱鸭。
