葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
天塞酒庄珍藏干红葡萄酒,4662,"Skyline of Gobi Reserve Dry Red, Xinjiang, China",,天塞酒庄,"('梅洛', '赤霞珠')",烟熏咖啡黑色浆果,该款酒采用天山南麓焉耆盆地出产的赤霞珠与梅洛葡萄酿造，在法国橡木桶内陈酿而成。葡萄酒呈明亮的宝石红色，清澈透亮，香气浓郁，富有层次，具有烟熏、咖啡、黑色浆果香气，果味与橡木味协调，入口强劲，结构良好，口感平衡优雅，收尾紧致，具有较好的长度。
天塞珍藏霞多丽干白葡萄酒,1961,"Skyline of Gobi Reserve Chardonnay, Xinjiang, China",白葡萄酒,天塞酒庄,"('霞多丽',)",菠萝青苹果,该款酒采用天山南麓焉耆盆地出产的霞多丽葡萄酿制而成，在法国橡木桶内低温发酵酿制而成。葡萄酒呈浅禾杆黄色，微泛青绿色；果味清新，具有似菠萝、青苹果的香气，间或烟熏感；入口活泼，中等酒体，口感柔顺，具有较好的长度，回味爽净。
天塞西拉干红葡萄酒,2128,"Skyline of Gobi Syrah, Xinjiang, China",红葡萄酒,天塞酒庄,"('西拉',)",欧李西梅香料,该款葡萄酒采用天山南麓焉耆盆地出产的西拉葡萄酿制而成。葡萄酒呈明亮的紫红色，清澈透亮；香气清新、清凉，果味浓郁而富有变化，似欧李、西梅，间或香料气息；口感柔软，中等酒体，口感协调，回味干净。
天塞羊年西拉干红葡萄酒,1330,"Skyline of Gobi Year of the Sheep Syrah, Xinjiang, China",红葡萄酒,天塞酒庄,"('西拉', '维欧尼')",桑葚白花,该款酒采用天山南麓焉耆盆地出产的西拉和维欧尼葡萄酿制而成。该酒呈鲜亮的宝石红色；香气馥郁，具有红色浆果类果香，如桑葚，又间或白色花香；中等酒体，结构优雅、回味纯净。
天塞蛇年梅洛干红葡萄酒,1068,"Skyline of Gobi Year of the Snake Merlot, Xinjiang, China",红葡萄酒,天塞酒庄,"('梅洛',)",话梅草莓酱,该款葡萄酒采用天山南麓焉耆盆地出产的梅洛葡萄酿制，葡萄酒呈明亮的紫红色，清澈有光泽；香气清新，果味浓郁，具有话梅、草莓酱的香气；口感平衡协调，回味干净。
天塞精选霞多丽干白葡萄酒,2269,"Skyline of Gobi Selection Chardonnay, Xinjiang, China",白葡萄酒,天塞酒庄,"('霞多丽',)",菠萝苹果哈密瓜芒果,该款葡萄酒采用天山南麓焉耆盆地出产的霞多丽酿制而成。葡萄酒呈禾杆黄色，微泛青绿色；清澈透亮，香气清新，芒果味浓郁，具有似菠萝、苹果、哈密瓜以及少许蜂蜜的香气；口感甜美而清爽，结构柔顺而协调，回味雅致。
天塞梅洛干红葡萄酒,1518,"Skyline of Gobi Merlot, Xinjiang, China",红葡萄酒,天塞酒庄,"('梅洛',)",话梅草莓酱烟熏橡木,该款葡萄酒采用天山南麓焉耆盆地出产的梅洛葡萄酿制，经过橡木桶陈酿而成。葡萄酒呈明亮的紫红色，清澈有光泽；香气清新，果味浓郁，具有话梅、草莓酱以及烟熏、橡木香气；入口肥美，中等酒体，口感平衡协调，回味干净。
天塞悦饮梅洛干红葡萄酒,1271,"Skyline of Gobi Enjoy Merlot, Xinjiang, China",红葡萄酒,天塞酒庄,"('梅洛',)",草莓李子,该款葡萄酒采用天山南麓焉耆盆地出产的梅洛葡萄酿制而成。葡萄酒呈明亮的宝石红色；具有新鲜活泼的水果香气；酒体轻盈明快，口感柔顺，果味明晰，回味愉悦。
天塞蛇年霞多丽干白葡萄酒,970,"Skyline of Gobi Year of the Snake Chardonnay, Xinjiang, China",白葡萄酒,天塞酒庄,"('霞多丽',)",菠萝苹果哈密瓜,此酒由天山南麓焉耆盆地出产的优质酿酒葡萄——霞多丽酿制而成，呈禾秆黄色，果味清新，似菠萝、苹果以及哈密瓜的气息，口感甜美柔顺而协调，回味爽净。
天塞羊年霞多丽干白葡萄酒,559,"Skyline of Gobi Year of the Sheep Chardonnay, Xinjiang, China",白葡萄酒,天塞酒庄,"('霞多丽',)",青瓜柠檬白桃哈密瓜,该款酒采用天山南麓焉耆盆地出产的霞多丽葡萄酿制而成。葡萄酒呈浅禾杆黄并泛略微的青色调；香气丰富，具有青瓜、柠檬、白桃和哈密瓜等果香；口感新鲜、纯净，回味中有略微的坚果气息。
天塞悦饮赤霞珠干红葡萄酒,1821,"Skyline of Gobi Enjoy Cabernet Sauvignon, Xinjiang, China",红葡萄酒,天塞酒庄,"('赤霞珠',)",黑樱桃黑莓,该款葡萄酒采取天山南麓焉耆盆地出产的赤霞珠葡萄酒酿制而成。葡萄酒呈明亮的宝石红色；具有黑色水果的香气；新鲜纯净，口感柔和中等酒体，结构平衡，回味愉悦。
天塞精选黑标赤霞珠干红葡萄酒,1137,"Skyline of Gobi Selection Black Label Cabernet Sauvignon, Xinjiang, China",红葡萄酒,天塞酒庄,"('赤霞珠',)",烟熏咖啡香草黑加仑,该款酒采用天山南麓焉耆盆地出产的赤霞珠葡萄酿造，在法国橡木桶内陈酿而成。葡萄酒呈明亮的宝石红色，清澈透亮；香气浓郁而清新，明显的烟熏、咖啡、香草气息，以及黑加仑等果香；口感强劲，单宁紧实，结构平衡，具有较好的长度。
天塞马年品丽珠干红葡萄酒,704,"Skyline of Gobi Year of the Horse Cabernet Franc, Xinjiang, China",红葡萄酒,天塞酒庄,"('品丽珠',)",紫罗兰青椒咖啡熏烤,这款出产于天山南麓焉耆盆地的品丽珠葡萄酒，呈鲜亮的紫红色，清澈；香气清新优雅，果味浓郁，具有紫罗兰、青椒香气，间或咖啡、熏烤气息；口感柔软，中等酒体，结构平衡，回味果味明显。
天塞马年霞多丽干白葡萄酒,749,"Skyline of Gobi Year of the Horse Chardonnay, Xinjiang, China",白葡萄酒,天塞酒庄,"('霞多丽',)",青苹果菠萝,这款出产于天山南麓焉耆盆地的霞多丽葡萄酒，呈浅禾杆黄色，微泛青绿色，清澈；果味清新，具有似菠萝、青苹果以及桃的香气；入口甜美，口感柔顺、协调，回味爽净。
新疆张裕巴保男爵酒庄干红葡萄酒,3393,"Chateau Changyu Baron Balboa, Xinjiang, China",红葡萄酒,张裕巴保男爵酒庄,"('梅洛', '赤霞珠')",黑醋栗、黑李子、甘草、烘烤橡木,这是酒庄的旗舰产品，带有浓郁的黑色浆果香气和优雅的橡木桶赋予的香气，层次复杂，入口圆润、柔和，酒体丰满，结构强劲，风格典型。
楼兰丝路经典干红葡萄酒,3952,"Loulan Silk Road Classic Dry Red, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('佳美', '品丽珠', '赤霞珠', '蛇龙珠')",红苹果樱桃咖啡烟熏香草,楼兰丝路经典干红葡萄酒由手选吐鲁番低地产区10年树龄以上的精选三株（赤霞珠、品丽珠、蛇龙珠）和佳美所酿造。酒液清澈明亮，酒体色泽呈紫红色，香气浓郁，闻之富含红苹果、樱桃和淡淡的橡木气味。酒体轻盈，平衡协调。
楼兰珍藏橡木桶赤霞珠红葡萄酒,1617,"Loulan Barrel Reserve Cabernet Sauvignon, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('赤霞珠',)",苹果樱桃黑加仑,这款葡萄酒由手选吐鲁番低地产区30年树龄以上的赤霞珠酿造而成。酒液带有闪烁宝石般的紫红光泽，闻之含有苹果、黑加仑与樱桃的芬芳，入口平衡柔滑，香气浓郁深邃，单宁如丝，愉悦悠长。该款葡萄酒通常会静置于法国橡木桶内陈酿24个月。
楼兰古堡限量版赤霞珠干红葡萄酒,2252,"Loulan Chateau Limited Edition Cabernet Sauvignon, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('赤霞珠',)",樱桃黑加仑,楼兰古堡限量版赤霞珠干红葡萄酒由手选吐鲁番低地产区30年树龄以上的赤霞珠酿造而成。酒液呈宝石般紫红的光泽，果香浓郁，富含樱桃与黑加仑的香气，口感平衡柔滑。
楼兰丝路风情高级干白葡萄酒,1905,"Loulan Silk Road Amorous Feelings Dry White, Tulufan, China",白葡萄酒,楼兰葡萄酒,"('意大利雷司令', '白羽', '白诗南')",苹果梨子柠檬蜂蜜,楼兰丝路风情高级干白葡萄酒由手选吐鲁番低地产区15年树龄以上的贵人香、白诗南和白羽所酿造，经轻柔压榨，低温发酵，精心酿制而成。酒液如黄水晶般剔透晶莹，闻之含新鲜淡雅的水果香味，给人一股愉悦之感，入口平衡柔和。
楼兰酒庄贵人香干白葡萄酒,1985,"Loulan Riesling Italico, Tulufan, China",白葡萄酒,楼兰葡萄酒,"('意大利雷司令',)",热带水果玫瑰花,楼兰酒庄贵人香干白葡萄酒由手选吐鲁番低地产区20年树龄以上的贵人香所酿造，经轻柔压榨，低温发酵，精心酿制而成。葡萄酒酒体澄清透明，富含热带水果香和淡雅的玫瑰花香。入口柔顺清爽，丰满完整，回味悠长。
楼兰酒庄私享级赤珠霞干红葡萄酒,1463,"Loulan Private Enjoy Cabernet Sauvignon, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('赤霞珠',)",黑醋栗黑莓樱桃香草,楼兰酒庄私享级赤霞珠干红葡萄酒由手选吐鲁番低地产区15年树龄以上的赤霞珠所酿造，经酒精发酵、浸渍、陈酿18个月。酒液呈紫红色，带棕色的析光，闻之香气深邃而芬芳，含苹果、樱桃和香草味，并有橡木芳香及矿物质的香气。
楼兰丝路经典干白葡萄酒,1575,"Loulan Silk Road Classic Dry White, Tulufan, China",白葡萄酒,楼兰葡萄酒,"('意大利雷司令', '白诗南')",椴花蜂蜜柠檬,楼兰丝路经典干白葡萄酒由手选吐鲁番低地产区20年树龄以上的贵人香和白诗南所酿造，经轻柔压榨，低温发酵，精心酿制而成。酒液呈金黄透亮的色泽，如月光般迷人，具有愉悦的花香和水果香味，口感清新细腻。
楼兰丝路传奇特选干红葡萄酒,1689,"Loulan Silk Road Legend Dry Red, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('品丽珠', '赤霞珠', '蛇龙珠')",红苹果樱桃香草,楼兰丝路传奇特选干红葡萄酒由手选吐鲁番低地产区10年树龄以上，离枝2小时内的精选三株葡萄（赤霞珠、品丽珠、蛇龙珠）所酿造。葡萄酒酒体色泽明亮，呈紫红色，香气浓郁，富含红苹果和樱桃等果香，还有淡淡的橡木味，单宁如丝般光滑，芳香平衡持久。
楼兰丝路风情高级干红葡萄酒,1616,"Loulan Silk Road Amorous Feelings Dry Red, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('佳美', '品丽珠', '赤霞珠', '蛇龙珠')",樱桃蓝莓,楼兰丝路风情高级干红葡萄酒由手选吐鲁番低地产区10年树龄以上的三株（赤霞珠、品丽珠和蛇龙珠）和佳美酿造，经酒精发酵、浸渍、陈酿8-12个月。该款葡萄酒酒体澈清，色泽诱人，闻之含有怡人的水果香味，酒体轻盈，平衡协调，单宁成熟，入口丝滑。
楼兰酒庄分享级蛇龙珠干红葡萄酒,1466,"Loulan Sharing Enjoy Cabernet Gernischt, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('蛇龙珠',)",覆盆子香料,楼兰酒庄分享级蛇龙珠干红葡萄酒由手选吐鲁番低地产区15年树龄以上的蛇龙珠酿造，经酒精发酵、浸渍、陈酿18个月。葡萄酒酒体澄清透明，呈紫红色，香气纯正协调，糅合覆盆子和调料香味，具有解百纳的典型性，酒质上等，入口平衡柔滑，层次丰富。
楼兰古堡尊享版赤霞珠干红葡萄酒,2088,"Loulan Chateau Luxury Enjoy Cabernet Sauvignon, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('赤霞珠',)",草莓黑加仑苹果,楼兰古堡尊享版赤霞珠干红葡萄酒由手选吐鲁番低地产区20年树龄以上的赤霞珠酿造而成。酒液呈紫红色，如石榴石般亮泽紫红，闻之含苹果、草莓和黑加仑的芬芳，入口醇厚而柔和，单宁平顺，酒香芬芳而馥郁。
楼兰久睿版经典干红葡萄酒,1376,"Loulan Jiurui Classic Dry Red, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('品丽珠', '赤霞珠', '蛇龙珠', '佳美')",黑醋覆蓝莓甘草,楼兰丝路风情高级干红葡萄酒由手选吐鲁番低地产区10年树龄以上的三株（赤霞珠、品丽珠和蛇龙珠）和佳美酿造，经酒精发酵、浸渍、陈酿8-12个月。葡萄酒酒体澈清，色泽迷人，单宁成熟，入口丝滑。
楼兰酒庄私享级百轩尼干白葡萄酒,1119,"Loulan Private Enjoy Chenin Blanc, Tulufan, China",白葡萄酒,楼兰葡萄酒,"('白诗南',)",鲜桃杏子蜂蜜,楼兰酒庄私享级百轩尼干白葡萄酒由手选吐鲁番低地产区20年树龄以上的白诗南所酿造，经轻柔压榨，低温发酵，精心酿制而成。酒体清澈透明有光泽，闻之富含鲜桃、杏子和蜂蜜的香味，入口圆润清爽，后味悠长。
楼兰霓裳半甜白葡萄酒,1068,"Loulan Ni Shang Semi-Sweet, Tulufan, China",白葡萄酒,楼兰葡萄酒,"('意大利雷司令',)",热带水果玫瑰,楼兰霓裳半甜白葡萄酒由手选吐鲁番低地产区20年树龄以上，采摘期推迟30天的贵人香葡萄所酿造。葡萄酒酒体清澈透明，色泽微黄，闻之含热带水果香和优雅的玫瑰花香，入口芬芳怡人，协调爽口，回味悠长。
楼兰丝路传奇特选干白葡萄酒,1706,"Loulan Silk Road Legend Dry White, Tulufan, China",白葡萄酒,楼兰葡萄酒,"('意大利雷司令', '白诗南')",苹果梨子柠檬,楼兰丝路传奇特选干白葡萄酒由手选吐鲁番低地产区20年树龄以上，离枝2小时内的精选贵人香和白诗南所酿造。葡萄酒液如黄水晶般晶莹剔透，闻之富含花香和水果香味，口感清新怡人。
楼兰低地阳光干红葡萄酒,1557,"Loulan Lowland Sunshine Red, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('品丽珠', '赤霞珠', '蛇龙珠', '佳美')",黑醋栗蓝莓樱桃,楼兰低地阳光干红葡萄酒由手选吐鲁番低地产区10年树龄以上的三珠（赤霞珠、品丽珠和蛇龙珠）和佳美酿造。酒体澄清，富含水果味。单宁成熟，入口顺滑。
楼兰酒庄尊享级美露干红葡萄酒,1114,"Loulan Luxury Enjoy Merlot, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('梅洛',)",浆果橡木矿物风味,楼兰酒庄尊享级美露干红葡萄酒由手选吐鲁番低地产区20年树龄以上的梅洛所酿造，经酒精发酵、浸渍、陈酿18个月。葡萄酒酒体色泽迷人，呈浓郁的深红，闻之含黑莓和山莓的果香，及淡淡的薄荷香。黑橄榄、成熟浆果口味与柔和的李子口味达到完美的平衡，并有橡木芳香及矿物质的香气。
楼兰戈壁传奇特选干红葡萄酒,2222,"Loulan Gobi Legend Dry Red, Tulufan, China",红葡萄酒,楼兰葡萄酒,"('品丽珠', '赤霞珠', '蛇龙珠')",红苹果樱桃橡木,楼兰戈壁传奇特选干红葡萄酒由手选吐鲁番低地产区10年树龄以上，离枝2小时内的精选三株葡萄（赤霞珠、品丽珠、蛇龙珠）所酿造。葡萄酒酒体色泽多呈紫红色，酒香浓郁，富含红苹果、樱桃和橡木风味，单宁顺滑，芳香持久。
楼兰香香逸甜白葡萄酒,1357,"Loulan Loulan Xiang Sweet White, Tulufan, China",白葡萄酒,楼兰葡萄酒,(),茉莉花蜂蜜天竺葵,楼兰香香逸甜白葡萄酒选用吐鲁番鄯善区楼兰母本园稀有古种葡萄——楼兰香，经过人工精心筛选，以芳香浸渍、轻柔压榨、低温发酵酿制而成。酒液金黄透亮，酒香扑鼻，具有浓烈的茉莉花香，蜂蜜香、天竺葵和皮革味。入口异香馥郁，酸度与酒精度完美结合，圆润丰满，后味悠长。
元森酒庄赤霞珠干红葡萄酒,5666,"Yuan Sen Cabernet Sauvignon, Xinjiang, China",红葡萄酒,元森酒庄,"('赤霞珠',)",黑醋栗黑莓樱桃,这是一款来自中国新疆的红葡萄酒。这款酒散发着黑醋栗和黑莓等香气，入口后，带有香草等风味，口感柔顺平衡。
元森酒庄金蜻蜓灵魂赤霞珠干红葡萄酒,5212,"Yuan Sen Soul Golden Dragonfly Cabernet Sauvignon, Xinjiang, China",红葡萄酒,元森酒庄,"('赤霞珠',)",黑醋栗黑樱桃烟草,这一款产自中国新疆产区的红葡萄酒，由赤霞珠酿造而成。这款葡萄酒呈明亮清澈的宝石红色，散发着黑醋栗、雪松盒、烘烤橡木和李子的香气，酒体饱满，单宁坚实。
元森酒庄蓝蜻蜓灵魂赤霞珠干红葡萄酒,5503,"Yuan Sen Soul Blue Dragonfly Cabernet Sauvignon, Xinjiang, China",红葡萄酒,元森酒庄,"('赤霞珠',)",黑色浆果青椒蘑菇,元森酒庄蓝蜻蜓灵魂赤霞珠干红葡萄酒由优质的赤霞珠精酿而成。其酒液呈晶莹的宝石红色，带有浓郁的黑色水果和橡木风味。
元森酒庄红蜻蜓灵魂赤霞珠干红葡萄酒,1835,"Yuan Sen Soul Red Dragonfly Cabernet Sauvignon, Xinjiang, China",红葡萄酒,元森酒庄,"('赤霞珠',)",黑醋栗蓝莓,元森酒庄红蜻蜓灵魂赤霞珠干红葡萄酒呈漂亮的宝石红色，酒液澄清明亮，成熟的浆果香伴着甜甜的果酱气息萦绕在杯口。此款酒口感甜美，酒体醇厚，最适宜搭配各种肉类菜肴。
元森酒庄银螳螂灵魂干白葡萄酒,2105,"Yuan Sen Soul Silver Mantis, Xinjiang, China",白葡萄酒,元森酒庄,"('霞多丽', '雷司令')",哈蜜瓜蜂蜜矿物质,元森酒庄银螳螂灵魂干白葡萄酒呈浅禾杆黄色，闻之富含甜兮兮的蜜香，以及洋洋洒洒的矿物质气息。
蒲昌酒庄沙布拉维红葡萄酒,2567,"Puchang Saperavi, Tulufan, China",红葡萄酒,蒲昌酒庄,"('晚红蜜',)",黑莓黑樱桃咖啡烟熏,这是一款来自中国新疆产区的红葡萄酒，此酒采用当地的特色品种晚红蜜酿造而成，散发着黑莓和黑樱桃香气，酸度充沛，单宁圆润，口感顺滑醇厚，余味中带有咖啡和烟熏的气息。
蒲昌酒庄亚尔香甜白葡萄酒,2806,"Puchang Clovine Muscat, Tulufan, China",甜酒,蒲昌酒庄,"('麝香',)",丁香茉莉生姜,这是一款来自中国新疆产区的甜白葡萄酒，此酒呈金黄色，散发着各种鲜花混合的优雅香气，并带有丁香、茉莉和生姜诱人的风味，酸甜之间达到完美平衡，口感丰富而醇厚，余味持久。
蒲昌酒庄亚尔香白葡萄酒,1654,"Puchang Muscat, Tulufan, China",白葡萄酒,蒲昌酒庄,"('麝香',)",丁香茉莉生姜,这是一款来自中国新疆产区的白葡萄酒，此酒呈金黄色，散发着各种鲜花混合的优雅香气，并带有丁香、茉莉和生姜的诱人风味，爽口的酸度与饱满的酒体达到微妙平衡，回味十足。
蒲昌酒庄白羽白葡萄酒,3805,"Puchang Rkatsiteli, Tulufan, China",白葡萄酒,蒲昌酒庄,"('白羽',)",百合青苹果木瓜白桃,这是一款来自中国新疆产区的白葡萄酒，此酒呈浅金色，散发着充沛而明显的百合、青苹果、木瓜和白桃的香气，口感饱满，酸度脆爽，风味复杂，适合与辛辣菜品搭配，如川菜或墨西哥美食。
蒲昌酒庄红色珍藏黑皮诺红葡萄酒,1537,"Puchang Crimson Reserve Pinot Noir, Tulufan, China",红葡萄酒,蒲昌酒庄,"('黑皮诺',)",红果甜香料,这是一款来自中国新疆产区的红葡萄酒，此酒色泽淡雅，各类红色水果及甜香料的香气浓郁而持久，口感轻盈，单宁细腻，余味美妙，适合搭配各类中式菜肴。
蒲昌酒庄珍藏赤霞珠红葡萄酒,2781,"Puchang Cabernet Sauvignon Reserve, Tulufan, China",红葡萄酒,蒲昌酒庄,"('赤霞珠',)",黑樱桃李子烘烤,这是一款来自中国新疆产区的红葡萄酒，此酒呈深宝石红色，散发着黑樱桃和李子的香气，并伴有一丝烘烤气息，入口丝滑柔和，单宁如丝般顺滑，酒体饱满，余味悠长。
蒲昌酒庄北醇甜红葡萄酒,3851,"Puchang Clovine Beichun, Tulufan, China",甜酒,蒲昌酒庄,(),李子红色浆果梨,这是一款来自中国新疆产区的甜红葡萄酒，此酒采用新疆独有的北醇葡萄酿造，其酒液宝石红色泽，散发着丰富的李子、红色浆果和梨的香气，并伴随着香料的芬芳，口感丝滑，回味清新。建议装瓶5年后饮用。
纳兰河谷美乐干红葡萄酒,6592,"Nalan Valley Merlot, Fukang, China",红葡萄酒,纳兰河谷酒庄,"('梅洛',)",红樱桃草莓,这款葡萄酒呈深紫红色，具有浓郁的红色浆果香气，口感丰润，收尾悠长，适宜搭配烤鸡肉和披萨等菜肴。
纳兰河谷沙谷盛宴赤霞珠干红葡萄酒,2086,"Nalan Valley Banquet in Sandy Valley Cabernet Sauvignon, Fukang, China",红葡萄酒,纳兰河谷酒庄,"('赤霞珠',)",黑醋栗黑莓,这款葡萄酒呈宝石红色，富有成熟的黑醋栗、黑莓等桨果的气味，并具有橡木芳香。入口圆润饱满，口感平衡愉悦，香气优雅纯正。
纳兰河谷纳兰公主赤霞珠干红葡萄酒,4106,"Nalan Valley Nalan Princess Cabernet Sauvignon, Fukang, China",红葡萄酒,纳兰河谷酒庄,"('赤霞珠',)",黑樱桃黑莓桂皮丁香,这款葡萄酒选用产自新疆的优质赤霞珠精酿而成。该酒呈亮丽的宝石红色，具有浓郁的黑果香气，并伴有明显的香料如桂皮、丁香等香气，回感圆润，适合搭配口味浓重的菜肴。
纳兰河谷沙谷赤霞珠干红葡萄酒,2718,"Nalan Valley Sandy Valley Cabernet Sauvignon, Fukang, China",红葡萄酒,纳兰河谷酒庄,"('赤霞珠',)",黑醋栗黑莓,这款葡萄酒呈宝石红色，富有成熟的黑醋栗、黑莓等桨果的气味，口感圆润，单宁柔顺，适宜搭配口味浓重如烤肉、羊排等食物。
纳兰河谷沙霞多丽干白葡萄酒,1939,"Nalan Valley Chardonnay, Fukang, China",白葡萄酒,纳兰河谷酒庄,"('霞多丽',)",热带水果,这款葡萄酒采用产自新疆的优质霞多丽精酿而成。该酒呈麦杆黄色，富含热带水果香味，酒体清澈透明，酸度适中，口感清新。
纳兰河谷纳兰明珠赤霞珠干红葡萄酒,3034,"Nalan Valley Nalan Pearl Cabernet Sauvignon, Fukang, China",红葡萄酒,纳兰河谷酒庄,"('赤霞珠',)",李子浆果胡椒香草橡木,这款葡萄酒呈深宝石红，具有浓郁的李子和浆果的香气，还伴有些许胡椒和香草橡木味，口感复杂，风味突出，结构优雅，收尾有细腻的单宁感。
纳兰河谷天山红赤霞珠干红葡萄酒,2674,"Nalan Valley Tianshan Hong Cabernet Sauvignon, Fukang, China",红葡萄酒,纳兰河谷酒庄,"('赤霞珠',)",黑色水果花香,这款葡萄酒呈浓郁深沉的宝石红色，迷人的黑果香与花香扑鼻而来，入口浓郁，带有良好的组织结构，木桶的风味、优雅的单宁让葡萄酒整体强劲。
