葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
莫高2005珍藏干红葡萄酒,1008,"Mogao 2005 Reserve Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,"('梅洛', '赤霞珠')",樱桃蓝莓,莫高2005珍藏干红葡萄酒以赤霞珠和梅洛为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该款葡萄酒酒体呈深宝石红，闻之含有樱桃、蓝莓等果香，适饮温度为12-16摄氏度。
莫高酒庄干红葡萄酒,2210,"Mogao Fazenda Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,"('赤霞珠',)",黑樱桃黑莓,莫高“酒庄酒”是指“种在酒庄，酿在酒庄，灌在酒庄”的酒。莫高酒庄酒由莫高庄园的赤霞珠酿造而成，酒体呈深宝石红色，果香、醇香、橡木香协调，滋味醇厚、饱满、层次分明，是值得鉴赏的酒中珍品。
莫高白比诺干白葡萄酒,875,"Mogao Pinot Blanc, Gansu, China",白葡萄酒,莫高葡萄庄园,"('白皮诺',)",柑橘白桃,莫高白比诺干白葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园优质白皮诺葡萄，精心按照OIV工艺标准，低温酿造而成的健康饮品。该酒酒体呈亮丽的浅黄色，清新洁净，口感清爽，蕴含多种果香，口香优雅和谐饱满，酒质圆滑柔顺清爽，媲美莫高黑皮诺。
莫高2006三星干红葡萄酒,1882,"Mogao 2006 3-Star Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,"('梅洛', '赤霞珠', '蛇龙珠')",樱桃蓝莓青草,莫高2006三星干红葡萄酒以四款珍贵的葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该款葡萄酒酒体呈深宝石红色，果香纯正，口感柔顺。
莫高千欢夜宴干红葡萄酒,675,"Mogao Pleasure Yeyan Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),樱桃草莓,莫高千欢夜宴干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该酒酒体呈深宝石红色，果香纯正，口感柔顺。
莫高五星精品干红葡萄酒,849,"Mogao 5-Star Fine Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),樱桃草莓,莫高五星精品干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。这款红葡萄酒酒体呈宝石红，果香浓郁，芬芳幽雅，口感柔顺和谐。
莫高典藏赤霞珠干红葡萄酒,884,"Mogao Collection Reserve Cabernet Sauvignon, Gansu, China",红葡萄酒,莫高葡萄庄园,"('赤霞珠',)",青草黑加仑奶油,莫高典藏赤霞珠干红葡萄酒以莫高庄园名贵葡萄赤霞珠（CabernetSauvignon）为原料，采用国际OIV工艺精酿而成，酒体呈深宝石红色，果香馥郁、醇香协调。有愉悦的青草、黑加仑、奶油香，口感复杂，典型性强，酒温在14-18℃时饮用品质最佳。
莫高三十年老树龄黑比诺干红葡萄酒,1117,"Mogao 30-Year Old Vine Pinot Noir, Gansu, China",红葡萄酒,莫高葡萄庄园,"('黑皮诺',)",红樱桃香草咖啡,"莫高三十年老树龄黑比诺干红葡萄酒系选用甘肃莫高葡萄庄园生长三十年老葡萄树所产优质黑皮诺葡萄,采用先进设备，经精选原料、除梗破碎、控温发酵、橡木桶陈藏等OIV工艺精心酿制而成的健康饮品。该款葡萄酒酒体呈宝石红色，富含成熟的红樱桃果香及精制木香，口感丰厚均衡。"
莫高兰州干红葡萄酒,690,"Mogao Lanzhou Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),红色水果香草,莫高兰州干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该款葡萄酒酒体呈深宝石红色，香气纯正浓郁，口感柔顺圆润。
莫高高级商务干红葡萄酒,781,"Mogao Business Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),草莓樱桃李子,莫高高级商务干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。这款葡萄酒酒体呈深宝石红，果香浓郁，芬芳幽雅，口感柔顺，舒适和谐。
莫高梅鹿辄干红葡萄酒,1232,"Mogao Merlot, Gansu, China",红葡萄酒,莫高葡萄庄园,"('梅洛',)",草莓樱桃蓝莓,莫高梅鹿辄干红葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园名贵的梅洛精酿而成。该款葡萄酒酒体呈宝石红，澄清绚丽，果香浓郁，芬芳幽雅，口感柔顺，舒适和谐，风格独特，余味悠长。
莫高霞多丽干白葡萄酒,909,"Mogao Chardonnay, Gansu, China",白葡萄酒,莫高葡萄庄园,"('霞多丽',)",柠檬西柚奶油,莫高霞多丽干白葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园优质霞多丽葡萄，精心按照OIV工艺标准，低温酿造而成的健康饮品。该酒酒体晶莹，呈浅金黄色，香气清新芬芳，酒质洁净，口感圆润细致，香醇迷人，余味隽永，具鲜明品种特性。
莫高普干红葡萄酒,772,"Mogao Normal Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),樱桃醋栗,莫高普干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该酒酒体呈深宝石红色，果香纯正，口感柔顺。
莫高珍藏版酒庄酒,1109,"Mogao Fazenda Grand Reserve Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,"('赤霞珠',)",黑樱桃黑莓,莫高“酒庄酒”是指“种在酒庄，酿在酒庄，灌在酒庄”的酒。来自莫高庄园的新贵——莫高珍藏版酒庄酒以莫高庄园的赤霞珠为原料，采用国际OIV工艺并在橡木桶中贮藏五年以上精酿而成。葡萄酒酒体呈深宝石红色，亮丽迷人，口感丰厚均衡。
莫高六年窖藏黑比诺干红葡萄酒,771,"Mogao 6-Year Cellar Aged Pinot Noir, Gansu, China",红葡萄酒,莫高葡萄庄园,"('黑皮诺',)",红色水果香草香料,"莫高六年窖藏黑比诺干红葡萄酒系选用甘肃莫高葡萄庄园优质黑皮诺葡萄,采用先进设备，经精选原料、除梗破碎、控温发酵、橡木桶陈藏等OIV工艺精心酿制而成的健康饮品。该酒酒体呈宝石红，澄清绚丽；果香浓郁，芬芳幽雅；口感柔嫩，舒适和谐。"
莫高十八年老树龄黑比诺干红葡萄酒,1570,"Mogao 18-Year Old Vine Pinot Noir, Gansu, China",红葡萄酒,莫高葡萄庄园,"('黑皮诺',)",樱桃草莓李子,"莫高十八年老树龄黑比诺干红葡萄酒系选用甘肃莫高葡萄庄园生长十八年老葡萄树所产优质黑皮诺葡萄,采用先进设备，经精选原料、除梗破碎、控温发酵、橡木桶陈藏等OIV工艺精心酿制而成的健康饮品。酒体呈宝石红，澄清绚丽；果香浓郁，芬芳幽雅口感柔嫩，舒适和谐。"
莫高千欢一品干红葡萄酒,892,"Mogao Pleasure Yiping Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),李子醋栗,莫高千欢一品干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该酒酒体呈深宝石红色，果香纯正，口感柔顺。
莫高二十五年老树龄黑比诺干红葡萄酒,1389,"Mogao 25-Year Old Vine Pinot Noir, Gansu, China",红葡萄酒,莫高葡萄庄园,"('黑皮诺',)",草莓樱桃咖啡蘑菇,"莫高二十年老树龄黑比诺干红葡萄酒系选用甘肃莫高葡萄庄园生长二十五年老葡萄树所产优质黑皮诺葡萄,采用先进设备，经精选原料、除梗破碎、控温发酵、橡木桶陈藏等OIV工艺精心酿制而成的健康饮品。该酒酒体呈宝石红，澄清绚丽；果香浓郁，芬芳幽雅口感柔嫩，舒适和谐。"
莫高百合干红葡萄酒,1772,"Mogao Lily Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),樱桃醋栗,莫高百合干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该酒酒体呈深宝石红色，果香纯正，口感柔顺。
莫高雷司令干白葡萄酒,928,"Mogao Riesling, Gansu, China",白葡萄酒,莫高葡萄庄园,"('雷司令',)",柑橘梨子西柚,"莫高雷司令干白葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园的雷司令葡萄,采用先进设备,经精选除梗、软压取汁、果汁净化、控温发酵、贮藏陈酿等OIV工艺精心酿制而成的健康饮品。这款葡萄酒酒体呈禾杆黄，晶莹透亮；果香浓郁，清新幽雅；口味纯正，细腻丰满；酒温10—12℃时饮用品质最佳。"
莫高金樽干红葡萄酒,1008,"Mogao Golden Goblet Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),青草黑加仑奶油,莫高金樽干红葡萄酒以莫高庄园名贵葡萄为原料，经橡木桶陈酿，采用国际OIV工艺精酿而成，艺精酿而成，酒体呈深宝石红色，果香馥郁、醇香协调，有愉悦的青草、黑加仑、奶油香，口感复杂，典型性强，酒温在14-18℃时饮用品质最佳。
莫高薏丝琳干白葡萄酒,929,"Mogao Italian Riesling, Gansu, China",白葡萄酒,莫高葡萄庄园,"('雷司令',)",柠檬柑橘西柚,莫高薏丝琳干白葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园的薏丝琳葡萄，采用先进设备，经精选除梗、软压取汁、果汁净化、控温发酵、贮藏陈酿等OIV工艺精心酿制而成的健康饮品。
莫高经典干红葡萄酒,1790,"Mogao Classic Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),樱桃草莓李子,莫高经典干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该酒酒体呈深宝石红色，果香纯正，口感柔顺。
莫高千欢宝鼎干红葡萄酒,466,"Mogao Pleasure Baoding Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),樱桃紫罗兰,莫高千欢宝鼎干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该酒酒体呈深宝石红色，果香纯正，口感柔顺。
莫高红宝石干红葡萄酒,740,"Mogao Ruby Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),樱桃覆盆子醋栗,这款葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成。该酒酒体呈宝石红，果香浓郁，口感柔顺，酒温14-18℃时饮用口感最佳。
莫高酒店干红葡萄酒,614,"Mogao Hotel Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),樱桃李子醋栗,莫高酒店干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该酒酒体呈深宝石红色，果香纯正，口感柔顺。
莫高橡木桶陈酿赤霞珠干红葡萄酒,1791,"Mogao Barrel Aged Cabernet Sauvignon, Gansu, China",红葡萄酒,莫高葡萄庄园,"('赤霞珠',)",黑樱桃黑莓,"莫高橡木桶陈酿赤霞珠干红葡萄酒以莫高庄园名贵葡萄赤霞珠为原料，采用国际OIV工艺精酿而成，酒体呈深宝石红色，果香馥郁、醇香协调。有愉悦的浓郁的黑樱桃和黑莓香味,酒温在14-18℃时饮用品质最佳。"
莫高团圆干红葡萄酒,1043,"Mogao Reunion Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),草莓樱桃,莫高团圆酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该酒酒体呈深宝石红色，果香纯正，口感柔顺。
莫高三星精制干红葡萄酒,687,"Mogao Three Star Special Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),樱桃李子,莫高三星精制干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成。该款葡萄酒酒体呈宝石红，果香浓郁，口感柔顺，酒温14-18℃时饮用口感最佳。
莫高金制干红葡萄酒,891,"Mogao Golden Made Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),樱桃草莓紫罗兰,莫高金制干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该酒酒体呈深宝石红色，果香纯正，口感柔顺，酒温14-18℃时饮用口感最佳.
紫轩梅尔诺干红葡萄酒,2325,"Zixuan Merlot Dry Red, Gansu, China",红葡萄酒,紫轩酒业,"('梅洛',)",烟熏橡木奶油巧克力,紫轩梅尔诺干红葡萄酒由梅洛酿造而成。酒液呈炫丽的深宝石红色，色深且有光泽，具有烟熏、奶油巧克力、香草等香气，馥郁纯正，口感醇厚饱满，酒体平衡协调，橡木风味突出，回味悠长，建议配搭肥鹅肝、牛羊肉、火腿、鸭、鹅等荤菜。
紫轩窖藏赤霞珠干红葡萄酒,2146,"Zixuan Barrel Aged Cabernet Sauvignon, Gansu, China",红葡萄酒,紫轩酒业,"('赤霞珠',)",巧克力蘑菇黑莓黑加仑李子干,这款采用赤霞珠酿造的紫轩窖藏赤霞珠干红葡萄酒会在中度烘烤的法国和美国橡木桶内陈酿12个月以上，瓶储1年以上。葡萄酒酒体呈深宝石红，香气馥郁，具有巧克力味，蘑菇味，黑莓、黑加仑、李子干等黑色浆果和干果的香气，丰满的醇香加上与果香融合完美的橡木风味使其香气高雅而华贵，酒体协调，结构感强，细腻优雅。
紫轩冰白葡萄酒,2911,"Zixuan White Ice Wine, Gansu, China",白葡萄酒,紫轩酒业,"('意大利雷司令',)",蜂蜜菠萝西柚,紫轩冰白葡萄酒由贵人香所酿造，在不锈钢白葡萄酒发酵罐低温发酵，整个发酵周期长达两月之久，酒香浓郁，酒质细腻。葡萄酒酒体明亮悦目、呈浅金黄色，具有馥郁的花香和蜜香；口感绵甜如蜜、浑厚甘醇、酸甜平衡、冷藏后入口沁人心脾、余味持久。
紫轩锦绣彩3干红葡萄酒,1695,"Zixuan Splendid Color 3 Dry Red, Gansu, China",红葡萄酒,紫轩酒业,"('赤霞珠',)",黑醋栗黑莓香草胡椒,紫轩锦绣彩3干红葡萄酒酒体呈深宝石红色，澄清透亮，具有成熟的黑醋栗、黑莓等黑色浆果香气，同时还具有奶油、巧克力、烟熏、香草、胡椒等陈酿香，酒体平衡协调，入口圆润，余味悠长。
紫轩沙天干红葡萄酒,856,"Zixuan Shatian Dry Red, Gansu, China",红葡萄酒,紫轩酒业,"('赤霞珠',)",黑莓樱桃,紫轩沙天干红葡萄酒由100%的赤霞珠酿造而成。葡萄酒酒体呈深石红色，果香浓郁，清新纯正，口感柔顺协调，最佳饮用温度为16-18℃，建议与红肉、牛排、野味奶酪等食物搭配。
紫轩戈壁干红葡萄酒,884,"Zixuan Gobi Dry Red, Gansu, China",红葡萄酒,紫轩酒业,"('梅洛',)",香草巧克力矿物质,紫轩戈壁干红葡萄酒由梅洛酿造而成。葡萄酒酒液呈宝石红，果香浓郁雅致，有明显的橡木味和矿物气息，适饮温度为16-18摄氏度。
紫轩沙天梅尔诺干红葡萄酒,1034,"Zixuan Shatian Merlot, Gansu, China",红葡萄酒,紫轩酒业,"('梅洛', '赤霞珠')",烟熏香草奶油巧克力,紫轩沙天梅尔诺干红葡萄酒采用80%的梅洛和20%的赤霞珠酿造而成。葡萄酒酒体呈深宝石红色，具有烟熏、奶油巧克力、香草等香气，口感醇厚饱满，酒体平衡协调，橡木风味突出，回味悠长，建议搭配肥鹅肝、牛羊肉、火腿、鸭、鹅等荤菜，红烧肉和烤肉更佳。
紫轩锦绣彩6干红葡萄酒,1718,"Zixuan Splendid Color 6 Dry Red, Gansu, China",红葡萄酒,紫轩酒业,"('赤霞珠',)",黑醋栗黑莓青椒,紫轩锦绣彩6干红葡萄酒采用现代酿酒技术，利用旋转发酵罐低温发酵而成。葡萄酒酒体颜色为宝石红色，澄清透亮，果香浓郁，具黑醋栗、黑莓香，以及舒适的青椒等复杂香气，酒体平衡丰满，结构感强，醇香绵长。
紫轩沙天精品干红葡萄酒,1059,"Zixuan Shatian Fine Dry Red, Gansu, China",红葡萄酒,紫轩酒业,"('梅洛', '赤霞珠')",巧克力松蘑菇黑莓黑加仑,紫轩沙天精品干红葡萄酒由80%的赤霞珠和20%的梅洛所酿造。葡萄酒酒体呈宝石红色，富含巧克力、松蘑菇、黑莓、黑加仑等复杂香气，还有浅藏的橡木香，馥郁雅致，口感饱满平衡，结构感好。
紫轩锦绣彩9干红葡萄酒,1948,"Zixuan Splendid Color 9 Dry Red, Gansu, China",红葡萄酒,紫轩酒业,"('梅洛', '赤霞珠')",黑莓青椒青草奶油,紫轩锦绣彩9干红葡萄酒选用紫轩万亩葡萄园中的世界著名酿酒葡萄品种赤霞珠、梅洛等精酿而成。梅洛所酿之酒醇和浓郁、色泽浓艳、酒质细腻柔软，具胡椒、青草等辛辣但不刺激的植物香气，在橡木桶中陈酿后，有奶油、榛子等甘香的气味。赤霞珠所酿之酒通常有着青椒和黑色浆果的香气。用这两个品种的葡萄酒以恰当的比例调和而诞生的锦绣彩9干红葡萄酒，给人以饱满立体的感受。
紫轩典藏赤霞珠干红葡萄酒,1317,"Zixuan Collection Reserve Cabernet Sauvignon, Gansu, China",红葡萄酒,紫轩酒业,"('赤霞珠',)",巧克力黑莓黑加仑李子干,这款采用赤霞珠酿造的紫轩典藏赤霞珠干红葡萄酒会在中度烘烤的法国橡木桶内精心陈酿一年。葡萄酒酒体呈典雅的深宝石红色，晶莹剔透，香气馥郁丰满，具有巧克力，黑莓、黑加仑、李子干等香气，口感饱满，酒体厚重，富有变化，结构感突出，回味悠长。
紫轩戈壁精选干红葡萄酒,1256,"Zixuan Gobi Premium Dry Red, Gansu, China",红葡萄酒,紫轩酒业,"('梅洛', '赤霞珠')",樱桃草莓香草,紫轩戈壁精选干红葡萄酒由赤霞珠和梅洛混酿而成。葡萄酒酒体清澈明亮，呈宝石红，闻之含有成熟的果香，香气馥郁，酒香协调，口感醇厚饱满，适饮温度为16-18摄氏度。
紫轩沙天赤霞珠干红葡萄酒,1067,"Zixuan Shatian Cabernet Sauvignon, Gansu, China",红葡萄酒,紫轩酒业,"('梅洛', '赤霞珠')",黑莓黑加仑李子干,紫轩沙天赤霞珠干红葡萄酒由82%的赤霞珠和18%的梅洛酿造而成。葡萄酒酒体呈典雅的深宝石红色，晶莹剔透，香气馥郁丰满，具有巧克力，蘑菇味，黑莓、黑加仑、李子干等复杂香气，口感饱满，酒体厚重粗犷，结构感突出，回味悠长。
紫轩戈壁优选干红葡萄酒,790,"Zixuan Gobi Selection Dry Red, Gansu, China",红葡萄酒,紫轩酒业,"('梅洛', '赤霞珠')",樱桃草莓覆盆子,紫轩戈壁优选干红葡萄酒由赤霞珠和梅洛混酿而成。葡萄酒酒体呈明亮的宝石红，闻之富含果香，口感平衡饱满，醇香悠长，适饮温度为16-18摄氏度。
敦煌莫高窟系列黑比诺干红葡萄酒,1606,"Dunhuang Mogaoku Pinot Noir, Gansu, China",红葡萄酒,敦煌葡萄酒,"('黑皮诺',)",覆盆子矿物质烟草,这款葡萄酒选用黑比诺葡萄精心酿制，酒体呈红宝石色，明亮而优雅，有浓郁而凝缩的果香，还伴有蔬菜、矿物质、烟草，甚至一点动物的味道，成熟迷人，入口细腻，单宁丝滑。
敦煌莫高窟系列赤霞珠干红葡萄酒,1933,"Dunhuang Mogaoku Cabernet Sauvignon, Gansu, China",红葡萄酒,敦煌葡萄酒,"('赤霞珠',)",黑加仑黑李子青椒薄荷,这款葡萄酒由产自甘肃的赤霞珠葡萄精酿而成。该酒呈深宝石红，酒中富含浓郁的黑色水果如黑加仑、黑李子的香气，还伴有青椒和薄荷等植物味，酒体饱满。
敦煌莫高窟系列珍藏黑比诺干红葡萄酒,2002,"Dunhuang Mogaoku Reserve Pinot Noir, Gansu, China",红葡萄酒,敦煌葡萄酒,"('黑皮诺',)",红樱桃草莓,这款葡萄酒选用产自甘肃的优质黑皮诺精酿而成。这款酒呈深紫红色，酒中富含红樱桃，草莓等浓郁的果香，单宁适中，酒体中等。
敦煌莫高窟庄园精品赤霞珠干红葡萄酒,1100,"Dunhuang Mogaoku Fine Cabernet Sauvignon, Gansu, China",红葡萄酒,敦煌葡萄酒,"('赤霞珠',)",黑色水果青椒薄荷香料,这款葡萄酒由产自甘肃的优质赤霞珠葡萄精酿而成。该酒呈深宝石红，澄清透明，闻之富含黑色水果的芳香，还伴有青椒、薄荷以及香料的香气，单宁柔顺，酒体饱满。
腾霖紫玉橡木桶陈酿赤霞珠干红葡萄酒,1452,"Tenglin Ziyu Oak Barrel Aged Cabernet Sauvignon, Gansu, China",红葡萄酒,腾霖紫玉葡萄酒,"('赤霞珠',)",黑加仑黑樱桃黑莓咖啡雪松,这款葡萄酒呈深宝石红色，香气馥郁，带有浓郁的黑色水果，如黑加仑、黑樱桃和黑莓的香气，还有橡木桶赋予的咖啡、烘烤和雪松的香气，单宁丝滑，酒体饱满。
腾霖紫玉绿洲精选赤霞珠干红葡萄酒,2056,"Tenglin Ziyu Oasis Premium Cabernet Sauvignon, Gansu, China",红葡萄酒,腾霖紫玉葡萄酒,"('赤霞珠',)",黑加仑黑樱桃香料,这款葡萄酒采用甘肃优质赤霞珠精酿而成。该酒呈宝石红色，具有优雅迷人的黑色水果香气，以及香味的香料气息，口感圆润，酒体中等。
腾霖紫玉赤霞珠干红葡萄酒,3034,"Tenglin Ziyu Cabernet Sauvignon, Gansu, China",红葡萄酒,腾霖紫玉葡萄酒,"('赤霞珠',)",黑果胡椒甘草,这款葡萄酒呈宝石红色，澄清透明，带有优雅迷人的黑果香气，以及胡椒、甘草等香料味，酒体中等。
