葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
香格里拉十二年树龄干红葡萄酒,3520,"Shangri-La 12-Year Old Vine Dry Red, Lulong, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑樱桃黑醋栗,香格里拉十二年树龄干红葡萄酒采用12年以上的优质赤霞珠葡萄为原料酿造，葡萄酒酒体呈宝石红色，澄清透明，酒香浓郁，口感醇和协调，品种典型性强。
香格里拉四十五年树龄干红葡萄酒,2427,"Shangri-La 45-Year Old Vine Dry Red, Lulong, China",红葡萄酒,香格里拉酒业,"('梅洛', '赤霞珠')",黑加仑青椒黑巧克力,精选法国波尔多地区，有着悠久历史的葡萄庄园45年以上老树名贵酿酒品种赤霞珠、梅洛为原料，以法国传统工艺精心酿造，并在橡木桶中陈酿6个月至1年，产品符合法国AOC标准。45年以上的葡萄园即使在波尔多也已弥足珍贵。这款老树葡萄酒呈深宝石红色，具浓郁的酒香与和谐的橡木香，酒体醇厚，是典型的波尔多干红葡萄酒。
香格里拉七十年树龄干红葡萄酒,1358,"Shangri-La 70-Year Old Vine Dry Red, Lulong, China",红葡萄酒,香格里拉酒业,"('梅洛', '赤霞珠')",黑果蘑菇雪松烟熏咖啡,"精选法国波尔多地区，有着悠久历史的葡萄庄园70年以上老树名贵酿酒品种赤霞珠、梅洛为原料，以法国传统工艺精心酿造，并在橡木桶中陈酿1年，产品符合法国AOC标准。70年以上的葡萄园即使在波尔多已十分稀有。这款老树葡萄酒呈深宝石红色,具浓郁的酒香与和谐的橡木香，酒体醇厚，是顶级波尔多干红葡萄酒。"
香格里拉高原A1干白葡萄酒,917,"Shangri-La Altitwine No.1 Dry White, Yunnan, China",白葡萄酒,香格里拉酒业,"('霞多丽',)",,香格里拉高原A1干白葡萄酒以精选香格里拉有机葡萄园霞多丽葡萄为原料，100%遵循法国夏布利法酿造，浅禾杆黄色的酒液清醇、甘爽，口感细腻，滑润而个性十足。
香格里拉天籁黑标玫瑰蜜干红葡萄酒,2064,"Shangri-La Sounds of Nature Rose Honey, Yunnan, China",红葡萄酒,香格里拉酒业,(),玫瑰蜂蜜,这款酒的原料为玫瑰蜜葡萄，据传18世纪由法国传教士引入云南，是目前云南高原产区的主要葡萄栽种品种之一。由玫瑰蜜所酿的酒，独特的花蜜香沁人心肺，酒体呈宝石红色，具有特殊的玫瑰香，余味清爽悠长，以一抹独特的蜂蜜味收尾。该酒诸香和谐，为风格独特的易饮型佐餐酒。
香格里拉特选级窖藏干红葡萄酒,1898,"Shangri-La Special Oak Barrel Aged Dry Red, Lulong, China",红葡萄酒,香格里拉酒业,"('赤霞珠', '蛇龙珠', '品丽珠')",蓝莓香草咖啡,七分原料，三分酿造。这款特选级窖藏干红葡萄酒对原料有着极高的要求，采用优质蛇龙珠葡萄、赤霞珠葡萄以及品丽珠葡萄精心酿造而成，并用橡木桶窖藏数月。该酒酒体丰满细腻，具有优雅的果香与和谐的橡木香，是一款优质的干红葡萄酒。
香格里拉高原A5干红葡萄酒,1985,"Shangri-La Altitwine No.5, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑樱桃黑莓黑巧克力,香格里拉高原A5干红葡萄酒以精选高原赤霞珠为原料，由法国酿酒师严格按照OIV国际葡萄酿酒法精心酿制，酒液呈现出迷人的红宝石色，天鹅绒般丝滑的酒液轻轻滑过喉咙，留下清新的果香和浓似巧克力的橡木香在口腔中慢慢弥撒开。
香格里拉霞多丽干白葡萄酒,1557,"Shangri-La Chardonnay, Lulong, China",白葡萄酒,香格里拉酒业,"('霞多丽',)",菠萝青苹果梨,霞多丽葡萄清新优雅的果香、细腻圆润的口感征服了无数葡萄酒爱好者。香格里拉霞多丽干白，以其独特口感，再次演绎霞多丽传奇。这款葡萄酒具有菠萝、青苹果以及梨的气息，口感圆润，且微微带有甜味，比较适合国人口味。
香格里拉珍藏有机干红葡萄酒,1304,"Shangri-La Reserve Organic Dry Red, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑加仑黑莓,珍藏级有机干红葡萄酒选用香格里拉有机葡萄园内优质赤霞珠葡萄为原料，通过对村级优质葡园、每穗葡萄进行挑选，经精心酿制及橡木桶陈酿12个月而成，本酒澄清透明，呈宝石红色，果香、酒香浓郁，与橡木香气和谐的融于一体，口感协调均衡，结构感强。
香格里拉三十年树龄干红葡萄酒,2676,"Shangri-La 30-Year Old Vine Dry Red, Lulong, China",红葡萄酒,香格里拉酒业,"('梅洛', '赤霞珠')",黑樱桃蘑菇雪松青椒,以精选法国波尔多地区，有着悠久历史的葡萄庄园30年以上老树名贵酿酒品种赤霞珠、梅洛为原料，以法国传统工艺精心酿造，并在橡木桶中陈酿6个月至1年，产品符合法国AOC标准。30年以上的葡萄园即使在波尔多也已弥足珍贵。这款老树葡萄酒呈深宝石红色，具浓郁的酒香与和谐的橡木香，酒体醇厚，是典型的波尔多干红葡萄酒。
香格里拉天籁干红葡萄酒,2664,"Shangri-La Sounds of Nature, Lulong, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",樱桃红莓,香格里拉天籁干红葡萄酒以精选卢龙产区的名品葡萄，配以先进的酿造工艺精心酿制而成。该酒酒体呈深宝石红色，澄清透明，具有高雅的品种香及醇厚的酒香，入口醇和，圆润柔顺，酒体丰满，有立体感，适宜作佐餐酒。
香格里拉高原2700干红葡萄酒,1671,"Shangri-La Altitwine 2700, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑加仑黑莓李子,香格里拉高原2700干红葡萄酒以精选海波2700米的赤霞珠为原料精心酿造而成，并在法国橡木桶内陈酿窖藏18个月，令人愉悦的馥郁果香与沉静的橡木香已完美和谐。该款葡萄酒丰厚有力，结构饱满，入口柔融，能带出独特的果香，以及丝绸般润滑的风格，余味悠长，是一款可长期保存极具收藏潜力的高品质葡萄酒。
香格里拉高原精选金丝猴干红葡萄酒,1420,"Shangri-La Altitwine Premium , Yunnan, China",红葡萄酒,香格里拉酒业,"('梅洛', '赤霞珠')",樱桃醋栗李子,由云南香格里拉酒业精心酿造，酒厂严格按照中国质量认证中心对“有机产品”生产的一系列严苛的要求，从葡萄的采购、筛选、酿造、陈酿到装瓶，均以有机产品质量体系的最高标准严格要求；此外由于香格里拉葡萄园独特的地理位置，使得葡萄充分成熟；而半牧化的耕作造成天然的限产，使得此款高原精选干红葡萄酒，就像生活在这里的金丝猴一样弥足珍贵。
香格里拉高原A1干红葡萄酒,862,"Shangri-La Altitwine No.1, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑加仑李子紫罗兰,香格里拉高原A1干红葡萄酒以精选香格里拉有机葡萄园赤霞珠葡萄为原料，精心酿制而成，带有亮丽的宝石红色泽，果香浓郁，酒体柔顺，是一款非常独特的高原葡萄酒。
香格里拉精特选有机干红葡萄酒,2337,"Shangri-La Premium Organic Dry Red, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",樱桃李子,精选级有机干红葡萄酒选用香格里拉有机葡萄园内优质赤霞珠葡萄为原料，精心酿制并经橡木桶陈酿而成，本酒澄清透明，呈亮丽的宝石红色，果香浓郁纯正，口感协调柔和，余味悠长，是一款优质的高原有机葡萄酒。
香格里拉天籁红标高级玫瑰蜜干红葡萄酒,1262,"Shangri-La Sounds of Nature Premium Rose Honey, Yunnan, China",红葡萄酒,香格里拉酒业,(),玫瑰蜂蜜,这款酒的原料为玫瑰蜜葡萄，据传18世纪由法国传教士引入云南，是目前云南高原产区的主要葡萄栽种品种之一。由玫瑰蜜所酿的酒，独特的花蜜香沁人心肺，酒体呈宝石红色，具有幽幽的玫瑰芬芳和超凡的单宁劲力，口感醇和，留香长而紧括，潜力优厚。
香格里拉赤霞珠干红葡萄酒,1079,"Shangri-La Cabernet Sauvignon, Lulong, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑莓皮革蘑菇,香格里拉酿酒师精心酿制的优质干红葡萄酒，为您精彩呈现赤霞珠葡萄饱满厚重、丰富细腻，极富层次感的独特口感。这一款赤霞珠葡萄酒，单宁丝滑，口感圆润，强劲有力。
香格里拉珍藏级窖藏干红葡萄酒,1166,"Shangri-La Reserve Oak Barrel Aged Dry Red, Lulong, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑醋栗湿树叶咖啡可可,香格里拉珍藏级窖藏干红葡萄酒以精选优质赤霞珠葡萄为原料，采用法国先进工艺精心酿制而成，该酒呈深宝石红色，色泽亮丽，果香优雅，具有和谐的橡木香气，是干红葡萄酒中的珍品。
香格里拉九年树龄干红葡萄酒,1559,"Shangri-La 9-Year Old Vine Dry Red, Lulong, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑加仑黑李子湿树叶,香格里拉九年树龄干红葡萄酒采用中国著名酿酒葡萄产区河北卢龙产区9年以上的优质赤霞珠葡萄为主要原料，采用先进的设备、精湛的酿酒工艺精心酿制而成。本酒呈宝石红色，澄清透明，果香清新，酒体柔和，协调易饮，典型性强。
香格里拉优选级窖藏干红葡萄酒,729,"Shangri-La Selection Oak Barrel Aged Dry Red, Lulong, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑醋栗黑莓青椒,香格里拉优选级窖藏干红葡萄酒采用优质葡萄为原料精心酿制而成，色泽呈宝石红色，果香优雅，酒体细腻，回味悠长。
香格里拉特选有机干红葡萄酒,1126,"Shangri-La Special Organic Dry Red, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑樱桃黑李子青椒,特选级有机干红葡萄酒选用香格里拉有机葡萄园内优质赤霞珠葡萄为原料，通过对村级优质葡园的特别选择，经精心酿制并通过橡木桶陈酿6个月而成，本酒澄清透明，呈宝石红色，芬芳浓郁浆果香气及橡木香气融于一体，口感协调均衡，余味悠长，是一款上佳的高原有机葡萄酒。
香格里拉高原A8干红葡萄酒,472,"Shangri-La Altitwine No.8, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",,这是一款产自中国云南的红葡萄酒。
云南红2013纪念版全汁红葡萄酒,2077,"Yunnan Hong 2013 Commemorative Rose Honey, Mile, China",红葡萄酒,云南红酒庄,"('玫瑰蜜',)",蜂蜜玫瑰,这款葡萄酒以当天采摘、带着晨露的高原名种酿酒葡萄玫瑰蜜为原料，采用全套现代的工艺和设备，在葡萄园区里精心酿造而成，是符合国际标准的干红葡萄酒。该酒呈迷人的宝石红，浓馥优雅，回味绵延，是酒中精品。
云南红高原葡萄1688m全汁干红葡萄酒,2030,"Yunnan Hong 1688m Highland Rose Honey, Mile, China",红葡萄酒,云南红酒庄,"('玫瑰蜜',)",玫瑰蜂蜜,这款葡萄酒以当天采摘、带着晨露的高原名种酿酒葡萄玫瑰蜜为原料，采用全套现代的工艺和设备，在葡萄园区里精心酿造而成，是符合国际标准的干红葡萄酒。该酒呈迷人的宝石红，果香芬芳、晶莹剔透、酒质醇厚、口感细腻，是上乘葡萄美酒中的一株奇葩。
云南红法国野69级全汁干红葡萄酒,2184,"Yunnan Hong Grade 69 French Wild, Mile, China",红葡萄酒,云南红酒庄,(),蜂蜜橡木烧烤,此款酒由精选葡萄——法国野为原料，经传统工艺发酵，后在橡木桶内陈酿6-9个月，再经一段时间的瓶贮而成。该酒呈深紫色，葡萄带来的蜜香和橡木香交相辉映，此起彼伏，有一种热带水果的甜蜜香气，香气自然而浓郁，入口醇甜，酒香纯正、浓郁，接着微苦微涩，伴随一种烧烤香味，诸味协调，层次感强，滋味醇厚丰满、协调、骨架端正，余味久长。
云南红老树葡萄10年全汁干红葡萄酒,2009,"Yunnan Hong 10-Year Old Vine Rose Honey, Mile, China",红葡萄酒,云南红酒庄,"('玫瑰蜜',)",玫瑰蜂蜜,这款葡萄酒以当天采摘、带着晨露的高原名种酿酒葡萄玫瑰蜜为原料，采用全套现代的工艺和设备，在葡萄园区里精心酿造而成，是符合国际标准的干红葡萄酒。该酒呈迷人的宝石红，浓馥优雅，回味绵延，是酒中精品。
云南红法国野59级全汁干红葡萄酒,1346,"Yunnan Hong Grade 59 French Wild, Mile, China",红葡萄酒,云南红酒庄,(),蜂蜜香草烧烤,此款酒由精选葡萄——法国野为原料，经传统工艺发酵，后在橡木桶内陈酿6-9个月，再经一段时间的瓶贮而成。该酒呈深紫色，葡萄带来的蜜香和橡木香交相辉映，此起彼伏，有一种热带水果的甜蜜香气，香气自然而浓郁，入口醇甜，酒香纯正、浓郁，接着微苦微涩，伴随一种烧烤香味，诸味协调，层次感强，滋味醇厚丰满、协调、骨架端正，余味久长。
云南红老树葡萄16年全汁干红葡萄酒,1500,"Yunnan Hong 16-Year Old Vine Rose Honey, Mile, China",红葡萄酒,云南红酒庄,"('玫瑰蜜',)",玫瑰蜂蜜,这款葡萄酒以当天采摘、带着晨露的高原名种酿酒葡萄玫瑰蜜为原料，采用全套现代的工艺和设备，在葡萄园区里精心酿造而成，是符合国际标准的干红葡萄酒。该酒呈迷人的宝石红，浓馥优雅，回味绵延，是酒中精品。
云南红水晶全汁干白葡萄酒,1608,"Yunnan Hong Crystal Grapes, Mile, China",白葡萄酒,云南红酒庄,(),菠萝香蕉丁香花,这款葡萄酒采用云南红酒庄特有的葡萄品种——水晶葡萄酿造，其树龄至少在25年以上，这种碧绿如水晶的葡萄，香气非常浓郁，几百米外就可以闻到它散发出来的果香。该酒呈浅黄色，具有丰富、浓郁、迷人的水果香气，之后仔细分辨又会发现一点点丁香花的幽香。
云南红老树葡萄22年全汁干红葡萄酒,1844,"Yunnan Hong 22-Year Old Vine Rose Honey, Mile, China",红葡萄酒,云南红酒庄,"('玫瑰蜜',)",蜂蜜玫瑰,该款酒采用法国最古老葡萄品种玫瑰蜜为酿酒原料，选用树龄至少在20年以上的葡萄精心酿制而成。该酒呈亮丽的宝石红色，富含迷人优雅的玫瑰花香，酒体和谐、口味纯正、口感厚重、香味浓郁，可谓酒中珍酿。
云南红老树葡萄25年全汁干红葡萄酒,1897,"Yunnan Hong 25-Year Old Vine Rose Honey, Mile, China",红葡萄酒,云南红酒庄,"('玫瑰蜜',)",蜂蜜玫瑰,该款酒采用法国最古老葡萄名种玫瑰蜜为酿酒原料，选用树龄至少在25年以上的葡萄精心酿制而成。该酒呈宝石红色，闻之富含迷人优雅的玫瑰花香，酒体和谐、口味纯正、口感厚重、香味浓郁，可谓酒中珍酿。
云南红高原葡萄1688m全汁干白葡萄酒,1610,"Yunnan Hong 1688m Highland Crystal Grapes, Mile, China",白葡萄酒,云南红酒庄,(),柠檬菠萝香蕉,这款葡萄酒以当天采摘、带着晨露的高原特有葡萄品种——水晶葡萄为原料，采用全套现代的工艺和设备，在葡萄园区里精心酿造而成。该酒禀神秘云南植物王国纯自然精灵之气而成，果香芬芳、色泽晶亮、酒质柔顺、口感细腻，是上乘葡萄美酒中的一株奇葩。
云南红老树葡萄30年全汁干红葡萄酒,1850,"Yunnan Hong 30-Year Old Vine Rose Honey, Mile, China",红葡萄酒,云南红酒庄,"('玫瑰蜜',)",蜂蜜玫瑰,该款酒采用法国最古老葡萄名种玫瑰蜜为酿酒原料，选用树龄至少在30年以上的葡萄精心酿制而成。该酒呈宝石红色，闻之富含迷人优雅的玫瑰花香，酒体和谐、口味纯正、口感厚重、香味浓郁，可谓酒中珍酿。
云南红老树葡萄20年全汁干红葡萄酒,2097,"Yunnan Hong 20-Year Old Vine Rose Honey, Mile, China",红葡萄酒,云南红酒庄,"('玫瑰蜜',)",玫瑰蜂蜜,该款酒采用法国最古老葡萄品种玫瑰蜜为酿酒原料，选用树龄至少在20年以上的葡萄精心酿制而成。该酒呈亮丽的宝石红色，富含迷人优雅的玫瑰花香，酒体和谐、口味纯正、口感厚重、香味浓郁，可谓酒中珍酿。这款葡萄酒适合现在饮用，但在酒窖中存放3-5年其变化将令人期待。
云南红老树葡萄15年全汁干红葡萄酒,1545,"Yunnan Hong 15-Year Old Vine Rose Honey, Mile, China",红葡萄酒,云南红酒庄,"('玫瑰蜜',)",玫瑰蜂蜜,该款酒采用法国最古老葡萄品种玫瑰蜜为酿酒原料，选用树龄至少在10-15年左右的葡萄，精心酿造而成。该酒呈迷人的宝石红色，具有幽幽的玫瑰花香，单宁柔和，酒质醇厚，口感细腻，入口绵甜，富有结构感，后味悠长。
太阳魂翁甲红葡萄酒,2782,"Sun Spirit Winery Wengjia Cabernet Sauvignon Red Wine, Yunnan, China",红葡萄酒,太阳魂酒业,"('赤霞珠',)",精美丰富醇厚,这款葡萄酒选用由低纬度高海拔地区的高原赤霞珠冰葡萄酒经太阳魂独家研发的酿造工艺发酵而成。酒呈剔透的红宝石色，散发着馥郁的蜜香、果酱香、干无花果香等香气，和谐精美且层次丰富。酒体醇厚，丰满细腻，香甜而又独具的高原雪域佳酿冰爽与清透的独特个性，将顶级高原冰酒的独特风格完美呈现。
太阳魂酒业赤霞珠干红葡萄酒,3441,"Sun Spirit Winery Cabernet Sauvignon Red Wine, Yunnan, China",红葡萄酒,太阳魂酒业,"('赤霞珠',)",果香清新,这款葡萄酒是第五届克隆宾（烟台）国际葡萄酒大赛的获奖产品，酒液呈现出宝石红色，散发着清新的红色水果果香，带有烟熏的气息，柔和雅致。单宁细腻，酸度舒服，酒体平衡。总而言之，这是一款没有过多修饰的葡萄酒，简单易饮，招人喜欢。
太阳魂梅里冰酒,4282,"Sun Spirit Winery Merry Ice Wine, Yunnan, China",,太阳魂酒业,(),甜美蜜香细腻,这款葡萄酒选用太阳魂旗下的梅里酒庄——世界上海拔最高的冰葡萄酒庄产的优质葡萄精心酿制而成。清雅悠长的干果香、黑加仑香，甜美蜜香，还有时间陈酿而出的芳香，和谐交融在一起，给人惬意舒适的享受。轻饮一口，美酒口感细腻，甜酸均衡，甜爽宜人。
太阳魂酒业赤霞珠珍藏版干红葡萄酒,1690,"Sun Spirit Winery Cabernet Sauvignon Reserve Red Wine, Yunnan, China",红葡萄酒,太阳魂酒业,"('赤霞珠',)",滑润缠绵,这款葡萄酒在法国橡木桶中陈酿了18个月，橡木桶赋予的咖啡、可可、橡木等香气，这些香气与黑加仑的香味完美融合后，一种特殊的果香和酒香溢满空间。小呷一口，酒液在口中如丝绸般滑润缠绵，令人沉醉不已。
太阳魂酒业玫瑰蜜红葡萄酒,1760,"Sun Spirit Winery Rose Honey Red Wine, Yunnan, China",红葡萄酒,太阳魂酒业,(),果香浓郁花香迷人,这款葡萄酒采用闻名于世的云南高原葡萄名种玫瑰蜜酿制。特殊的土壤、名贵的葡萄品种、充足的阳光、适当的降雨量，魔法般完美的组合，酿成了这款纯美的玫瑰蜜干红葡萄酒。浓郁的草莓果香、玫瑰香和蜂蜜甜香飘逸在空中，沁人心脾，令人迷醉。
太阳魂酒业水晶干白葡萄酒,989,"Sun Spirit Winery Crustal White Wine, Yunnan, China",白葡萄酒,太阳魂酒业,(),细腻柔和,这款葡萄酒是一款鲜果香味尤为突出的产品。特有的水晶葡萄的淡雅香型，香味纯净、舒适。酒质细腻，有如丝绸般柔滑。入口柔和，酸甜适中，令人陶醉玄妙美味的葡萄酒世界。
