葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
迦南美地黑骏马干红葡萄酒,4255,"Kanaan Winery Black Beauty, Ningxia, China",红葡萄酒,迦南美地酒庄,"('赤霞珠',)",黑色浆果、咖啡、巧克力、香草,这款酒呈现出透亮的宝石红色，散发出浓郁黑色小浆果气息，带有香草、咖啡等深层香气，气味干净、纯粹，适当醒酒后，风味层层涌出，香气愈发迷人，口感甘美成熟，丝绒般的单宁柔滑而过，酒体柔和，透出支撑长期陈年的潜力。
迦南美地雷司令干白葡萄酒,2805,"Kanaan Winery Riesling, Ningxia, China",白葡萄酒,迦南美地酒庄,"('雷司令',)",柑橘、柠檬、蜜桃、汽油,这款酒清亮透彻，呈现出淡淡的金黄色，闻起来带有明显的青苹果、柠檬皮、菠萝的鲜爽香气，纯净清新，带有典型的汽油味和少于的小白花和柑橘类水果香气，丝毫不沾染西北粗狂野性的大漠风尘，入口微酸、清爽，极度平衡，舌面留下收敛感，酸甜酒精表现均衡。
张裕宁夏摩塞尔酒庄红葡萄酒,4039,"Chateau Changyu Moser XV, Ningxia, China",红葡萄酒,张裕宁夏摩塞尔十五世酒庄,"('品丽珠', '赤霞珠', '蛇龙珠')",黑醋栗、黑樱桃、烘烤橡木、香草,这款葡萄酒香气浓郁、醇香和橡木香协调，滋味醇厚、平衡、酒体丰满，结构完整，风格独特。
张裕宁夏摩塞尔十五世酒庄赤霞珠干白葡萄酒,1567,"Chateau Changyu Moser XV Cabernet Sauvignon Blanc De Noir, Helan Mountain, China",白葡萄酒,张裕宁夏摩塞尔十五世酒庄,"('赤霞珠',)",桃子杏子生姜,这是一款来自中国宁夏产区的白葡萄酒。
御马甘堡西拉干红葡萄酒,2518,"Imperial Horse Ganbao Syrah, Ningxia, China",红葡萄酒,御马酒庄,"('西拉',)",黑醋栗黑莓青椒,御马甘堡西拉干红葡萄酒精选宁夏贺兰山麓御马生态庄园的西拉葡萄为原料，经法国酿酒师精酿而成。该酒果香浓郁，极具陈年潜力，曾先后斩获多个著名葡萄酒国际大赛的奖项，是御马酒庄的明星产品！
御马02黑皮诺干红葡萄酒,1159,"Imperial Horse 02 Pinot Noir, Ningxia, China",红葡萄酒,御马酒庄,"('黑皮诺',)",蔬菜矿物质烟草,御马黑皮诺干红葡萄酒，由精选黑皮诺葡萄，经法国酿酒师精酿而成。葡萄酒在瓶前在橡木桶中酝酿24个月之久，保持了黑皮诺葡萄勃艮地品种特有的红宝石色，明亮而优雅，有浓郁而凝缩的果香，入口后劲力和细腻出奇的匀和，如丝一般的细滑的单宁，又紧又密，却又薄如蝉翼，有蔬菜、矿物质、烟草，甚至一点动物的味道，成熟迷人。
御马经典解百纳干红葡萄酒,1920,"Imperial Horse Classic Cabernet, Ningxia, China",红葡萄酒,御马酒庄,"('品丽珠', '赤霞珠', '蛇龙珠')",覆盆子醋栗香草,御马经典解百纳干红葡萄酒精选贺兰山东麓御马庄园的世界名贵葡萄赤霞珠、蛇龙珠、品丽珠，经法国酿酒师精酿而成。该酒酒体呈宝石红色，酒色馥郁，带有很淡的青草香，口感饱满，糖酸比例平衡，层次分明，具有贺兰山产地香味浓郁、厚味悠长、醇厚柔谐的特征，更透出典型的欧洲风味！
御马神索干红葡萄酒,2272,"Imperial Horse Cinsault, Ningxia, China",红葡萄酒,御马酒庄,"('神索',)",覆盆子醋栗石榴,御马神索干红葡萄酒精选贺兰山东麓御马庄园的世界名贵葡萄神索，采用国际先进酿造工艺，经法国著名酿酒师精酿而成。葡萄酒酒体呈宝石红色，果香纯正，口感柔顺，是典型的欧洲风味葡萄酒！
御马98梅洛干红葡萄酒,1475,"Imperial Horse 98 Merlot, Ningxia, China",红葡萄酒,御马酒庄,"('梅洛',)",黑莓咖啡豆香草,御马98梅洛干红葡萄酒精选贺兰山东麓御马庄园的世界名贵葡萄梅洛，经法国著名酿酒师精酿而成。葡萄酒呈高贵的宝石红色，洋溢着浓郁成熟的黑莓、咖啡豆、香草、菌类等香味，酒体层次分明，单宁完美和谐，醇厚饱满，回味悠长！
御马霞多丽干白葡萄酒,1092,"Imperial Horse Chardonnay, Ningxia, China",白葡萄酒,御马酒庄,"('霞多丽',)",柑橘花白桃油桃葡萄柚,"御马霞多丽干白葡萄酒精选贺兰山东麓御马庄园的世界名贵葡萄霞多丽，采用国际先进酿造工艺，经法国著名酿酒师精酿而成。葡萄酒呈高贵的禾杆黄色，细腻典雅，果香浓郁，层次分明，酒体平衡而精致，散发着柑橘花、白桃、油桃、甜瓜和葡萄柚的醇香,纯正清爽、口香持久，是海鲜、鱼类的理想搭配！"
御马黑皮诺干红葡萄酒,1323,"Imperial Horse Pinot Noir, Ningxia, China",红葡萄酒,御马酒庄,"('黑皮诺',)",蔬菜矿物质烟草动物,御马黑皮诺干红葡萄酒，精选宁夏贺兰山麓御马生态庄园的“名贵红酒葡萄皇后”黑皮诺，经法国酿酒师精酿而成，完全独享了黑皮诺的荣耀与美味，装瓶前在橡木桶中酝酿24个月之久，保持了黑皮诺葡萄勃艮地品种特有的红宝石色，明亮而优雅，有浓郁而凝缩的黑皮诺果香，入口后劲力和细腻出奇的匀和，如丝一般的细滑的单宁，又紧又密，却又薄如蝉翼，有蔬菜、矿物质、烟草，甚至一点动物的味道，成熟迷人、剑胆琴心，甚至带一点野性，耐人回味。
御马96赤霞珠干红葡萄酒,1315,"Imperial Horse 96 Cabernet Sauvignon, Ningxia, China",红葡萄酒,御马酒庄,"('赤霞珠',)",黑醋栗黑莓烘烤,御马96赤霞珠干红葡萄酒精选贺兰山东麓御马庄园的世界名贵葡萄赤霞珠，采用国际先进酿造工艺，经法国著名酿酒师精酿而成。葡萄酒颜色清澈深红，一股成熟的黑醋栗、黑莓等浆果气息，并有橡木芳香，入口圆润饱满，口感平衡愉悦，香气优雅纯正。
贺东庄园窖藏赤霞珠干红葡萄酒,2878,"Chateau Hedong Cellar Cuvee Cabernet Sauvignon, Ningxia, China",红葡萄酒,贺东庄园,"('赤霞珠',)",,酒体呈深宝石红色。浓郁的黑色浆果香气和陈酿而来的熏烤、香草味道完美均衡。口感协调饱满，回味悠长。
贺东庄园桃红葡萄酒,2115,"Chateau Hedong Rose Wine, Ningxia, China",桃红葡萄酒,贺东庄园,"('品丽珠', '赤霞珠')",成熟水果花香,清新淡雅的粉红色，带着清新怡人的成熟水果香气和花香，入口油滑、无限眷恋，留香唇齿之间。
贺东庄园赤霞珠干红葡萄酒,2189,"Chateau Hedong Cabernet Sauvignon, Ningxia, China",红葡萄酒,贺东庄园,"('品丽珠', '赤霞珠')",黑胡椒香料李子橡木,此款葡萄酒品种为90%赤霞珠，10%品丽珠，酒体呈宝石红色，澄清透亮。香气浓郁，有黑胡椒、香料、李子、橡木的香气。口感顺滑，酒体圆润，单宁细腻，回味长久丰富，唇齿留香。
贺东庄园霞多丽干白葡萄酒,2467,"Chateau Hedong Chardonnay, Ningxia, China",白葡萄酒,贺东庄园,"('霞多丽',)",蜂蜜香蕉哈密瓜,浅禾秆黄色。怡人的果香、花香中带有清爽爽的冰凉感，很适合在这炎热的夏季饮用。入口有长长的甜美回味，冰镇后纯饮更舒服
森淼兰月谷冰葡萄酒,3161,"Senmiao Moon Valley Ice, Ningxia, China",甜酒,森淼兰月谷酒庄,"('威代尔',)",柑橘、果香、槐树花香,这款酒带有明显的柑橘类香气，酸度适中，非常活跃，细腻的酒体中带有淡淡的槐树花香气，回味细腻、优雅，口齿留香。
森淼兰月谷橡木桶珍藏赤霞珠干红葡萄酒,2602,"Senmiao Moon Valley Barrel Reserve Cabernet Sauvignon, Ningxia, China",红葡萄酒,森淼兰月谷酒庄,"('赤霞珠',)",黑醋栗、黑樱桃、香料,这款葡萄酒采用科研小型酿造设备酿造，呈现靓丽的红宝石色，散发出浓郁的黑樱桃、黑醋栗等水果香气，口感饱满、顺滑，回甘中带有明显的橡木桶带来的香气，复杂而富有魅力。
森淼兰月谷珍藏级赤霞珠干红葡萄酒,2156,"Senmiao Moon Valley Reserve Cabernet Sauvignon, Ningxia, China",红葡萄酒,森淼兰月谷酒庄,"('赤霞珠',)",黑醋栗、黑莓、香料,这款酒采用科研小型酿造设备酿造，精确控制工艺条件酿造而成。酒款呈深宝石红色，带有新鲜的黑醋栗、黑莓、黑樱桃等水果香味，口感饱满、丰富且富于变化，回甘中带有明显的香料气息。
法塞特桃红葡萄酒,2040,"Farsight Rose, Ningxia, China",桃红葡萄酒,圣路易·丁酒庄,"('梅洛', '赤霞珠')",草莓、樱桃,法塞特桃红葡萄酒呈明亮的玫瑰红，具有诱人的水果芳香，口味清新优雅，成熟而馥郁的醇厚口感，精致柔滑的单宁，不论是佐餐还是静饮，都十分合适。
法塞特霜后赤霞珠葡萄酒,1026,"Farsight After Forst Cabernet Sauvignon, Ningxia, China",红葡萄酒,圣路易·丁酒庄,"('赤霞珠',)",黑樱桃、黑莓、李子,法塞特霜后赤霞珠葡萄酒，呈诱人的深宝石红色，蕴含成熟黑樱桃的浓郁果香，酒体饱满，单宁顺和，口感柔顺，回味中带有非常甘美的果香。这款葡萄酒入选2013年度“发现·分析·见证”首届中国精品葡萄酒挑战赛“产区精品葡萄酒”奖。
法塞特蛇龙珠干红葡萄酒,1110,"Farsight Cabernet Gernischt, Ningxia, China",红葡萄酒,圣路易·丁酒庄,"('蛇龙珠',)",黑浆果,法塞特蛇龙珠干红葡萄酒，呈美丽的宝石红色，具有明显的黑浆果气息，果味十足，和谐优雅，口味醇和圆润，余味悠长，非常美味。
法塞特美乐干红葡萄酒,1144,"Farsight Merlot, Ningxia, China",红葡萄酒,圣路易·丁酒庄,"('梅洛',)",李子、樱桃,法塞特美乐干红葡萄酒，树龄14岁，种植在以砂砾土为主的贺兰山东麓黄羊滩，全部采用有机种植，呈靓丽的红宝石红色，为新鲜的李子、樱桃等香气为主，口感圆润，味道和谐，回甘鲜美。
法塞特晚采赤霞珠干红葡萄酒,1063,"Farsight Late Harvest Cabernet Sauvignon, Ningxia, China",红葡萄酒,圣路易·丁酒庄,"('赤霞珠',)",李子干、草莓干、蜂蜜,法塞特晚收赤霞珠红葡萄酒，呈深紫红色，浓郁的红色浆果香气中夹杂着李子干、草莓干和蜂蜜的味道，入口浓郁的酒香非常具有冲击力。
法塞特霞多丽干白葡萄酒,910,"Farsight Chardonnay, Ningxia, China",白葡萄酒,圣路易·丁酒庄,"('霞多丽',)",柑橘类、苹果,法塞特霞多丽干白葡萄酒，呈微黄带绿色，并具有新鲜悦怡的果香，味道醇和柔细、舒顺爽净，酒体丰满，酸味甘美，使这款酒爽口又增加食欲。
法塞特窖藏赤霞珠干红葡萄酒,1567,"Farsight Cuvee Cabernet Sauvignon, Ningxia, China",红葡萄酒,圣路易·丁酒庄,"('赤霞珠',)",黑色水果、红色水果、花香,这款酒经法国原装橡木桶陈酿22个月，树龄14岁，种植在以砂砾土为主的贺兰山东麓黄羊滩，日照充足，昼夜温差大，降雨稀少。酒色呈深红色，黑色水果和红色水果的味道中夹杂甜美的花香，入口单宁强劲，浓郁的果香和酸度带来了很好的平衡，回味悠长。2012年4月荣获第五届亚洲葡萄酒质量大赛金奖;2012年《醇鉴》世界葡萄酒大赛铜奖；2011年“红宝石”奖2011年度百大葡萄酒评选中荣获铜奖。
法塞特赤霞珠干红葡萄酒,949,"Farsight Cabernet Sauvignon, Ningxia, China",红葡萄酒,圣路易·丁酒庄,"('赤霞珠',)",李子、成熟黑樱桃,法塞特赤霞珠干红葡萄酒，呈诱人的深宝石红色，蕴含成熟黑樱桃的浓郁果香，酒体饱满，单宁顺和，酸度适中，回味中即有果味的鲜美，又有葡萄酒的醇香。
罗山酒庄2011赤霞珠干红葡萄酒,2350,"Luoshan Wines 2011 Cabernet Sauvignon, Ningxia, China",红葡萄酒,罗山酒庄,"('赤霞珠',)",,宝石红色。香气怡人，精致夺目，令人唇齿留香，清新而余味悠长。
罗山酒庄标准级赤霞珠干红葡萄酒,1684,"Luoshan Wines Standard Cabernet Sauvignon, Ningxia, China",红葡萄酒,罗山酒庄,"('赤霞珠',)",黑色浆果,呈深宝石红色，弥漫着纯正、浓郁的黑浆果气息，酒体醇厚成熟、精致柔滑、甘美雅怡、耐人寻味。
罗山酒庄赤霞珠干红葡萄酒,1253,"Luoshan Wines Cabernet Sauvignon, Ningxia, China",红葡萄酒,罗山酒庄,"('赤霞珠',)",,这款葡萄酒呈深宝石红色，果香浓郁，酒体饱满、纯净，结构平衡，单宁似天鹅绒般柔滑，余味悠长。
罗山酒庄小喜鹊干红葡萄酒,1700,"Luoshan Wines Little Magpie Red Wine, Ningxia, China",红葡萄酒,罗山酒庄,"('赤霞珠',)",,魅惑的酒色如美丽的红宝石色，闪烁着石榴红光泽，酒体丰满而宽宏有力，口感丰满柔顺，协调细腻，极致喜庆。
博纳佰馥干红葡萄酒,7309,"Domaine des Aromes, Ningxia, China",红葡萄酒,博纳佰馥酒庄,"('赤霞珠',)",黑醋栗、黑樱桃、甜香草,这款葡萄酒呈靓丽的宝石红色，整体细腻优雅，不似美国加州的赤霞珠葡萄酒或波尔多的赤霞珠葡萄酒，果味纯净、自然，带有黑醋栗、黑樱桃、李子等香气，还散发出甜美的香草香气，单宁质地幼滑，整体是非常平衡的一款葡萄酒。
红沙坡头庄园蛇龙珠葡萄酒,1663,"Sha Po Tou Winery Cabernet Gernischt Red Wine, Ningxia, China",红葡萄酒,宁夏红沙坡头庄园,"('蛇龙珠',)",清新花香香草芬芳,这款葡萄酒精选宁夏沙坡头优质蛇龙珠，采用传统工艺酿造，具有柔美的深宝石红色，清新的花香略带橡木香及香草的芬芳，口感丰实圆润，单宁纯美，酒香怡人。
戈丽雅（马兰花）赤霞珠干红葡萄酒,2519,"Geliya Malan flower Cabernet Sauvignon, Ningxia, China",红葡萄酒,原歌酒庄,"('赤霞珠',)",,这款葡萄酒以精选赤霞珠为原料，采用法国传统酿酒技术，经橡木桶窖藏精酿而成。酒款呈深宝石红色，表现出馥郁的黑皮李子伴着烘烤橡木香气而协调淡雅，口感柔和平衡、细腻味长。
原歌雅沁赤霞珠干红葡萄酒,1210,"Yuange Yaqin Cabernet Sauvignon, Ningxia, China",红葡萄酒,原歌酒庄,"('赤霞珠',)",,这款葡萄酒以精选赤霞珠为原料，采用法国传统酿酒技术，经橡木桶窖藏精酿而成。这款葡萄酒呈深宝石红色，表现出黑莓、香料、巧克力的香气馥郁优雅，口感圆润、柔滑平衡，回味悠长。
原歌悦飨赤霞珠干红葡萄酒,994,"Yuange Yuexiang Cabernet Sauvignon, Ningxia, China",红葡萄酒,原歌酒庄,"('赤霞珠',)",,这款葡萄酒以精选赤霞珠为原料，采用法国传统酿酒技术，经橡木桶窖藏精酿而成。这款葡萄酒呈深宝石红色，馥郁的黑皮李子伴有烘烤橡木桶香气而协调淡雅，口感柔和平衡、细腻味长，非常适合搭配烤制的肉类。
原歌珍藏赤霞珠干红葡萄酒,1237,"Yuange Cabernet Sauvignon Reserve, Ningxia, China",红葡萄酒,原歌酒庄,"('赤霞珠',)",,这款葡萄酒以精选赤霞珠为原料，采用法国传统酿酒技术，经法国橡木桶窖藏精酿而成。酒款呈深宝石红色，表现出典雅的黑色果浆拌合着咖啡的浓郁香气，层次悠然，口感醇厚、平衡，回味持久。
原歌私藏赤霞珠高级干红葡萄酒,1408,"Yuange Private Cabernet Sauvignon Superior, Ningxia, China",红葡萄酒,原歌酒庄,"('赤霞珠',)",,这款葡萄酒以精选赤霞珠为原料，采用法国传统酿酒技术，经橡木桶窖藏精酿而成。酒款呈深宝石红色，表现出果脯、奶油、香草、烤肉气息，呈层次释放，口感饱满、平衡、丝滑，酒体厚重，有陈酿潜力，回味悠长、持久。
阳阳国际酒庄贺尊珍藏特级蛇龙珠干红葡萄酒,1067,"Yangyang International Wine Estate Hezun Grand Reserve Cabernet Gernischt, Ningxia, China",红葡萄酒,阳阳国际酒庄,"('蛇龙珠',)",,这款酒呈现出漂亮的玫瑰紫色，带着晶亮的边缘，散发出甜美的黑色水果香气，如黑莓、黑樱桃、醋栗，并浮出一丝青草香，透露出蛇龙珠的身世，口感细腻柔顺，回味时间长。
阳阳国际酒庄贺尊珍藏特级赤霞珠干红葡萄酒,950,"Yangyang International Wine Estate Hezun Grand Reserve Cabernet Sauvignon, Ningxia, China",红葡萄酒,阳阳国际酒庄,"('赤霞珠',)",,这款酒呈漂亮的深紫色，边缘泛着一轮晶亮的淡紫色光晕，散发出淡淡的花香和成熟的果香，包括紫罗兰、黑莓、黑樱桃，口感饱满柔和，有结构感，果味丰裕，回味细腻甜美。建议饮用温度为16-18摄氏度，适合搭配烤制、油炸类食物。
类人首经典佳百纳干红葡萄酒,2978,"Chateau Leirenshou Classic Cabernet, Ningxia, China",红葡萄酒,类人首酒庄,"('赤霞珠', '蛇龙珠')",樱桃、黑加仑、醇香,这款酒采用法国工艺酿制而成，经过橡木桶熟成，呈现出靓丽的宝石红色，果味新鲜迷人，有樱桃、李子、黑加仑等香气，口腔中表现出迷人的醇香，酸度适中，结构清晰，回味悠长。
类人首L2干红葡萄酒,1926,"Chateau Leirenshou Lux Regis L2, Ningxia, China",红葡萄酒,类人首酒庄,"('梅洛', '赤霞珠')",李子、烟熏、青椒,这款酒带有靓丽的宝石红色，香气突出，烟熏、李子、青椒等香气交替呈现；单宁均衡，酒体结构饱满，入口圆润，回味长。
类人首钻石黑比诺干红葡萄酒,1191,"Chateau Leirenshou Diamond Pinot Noir, Ningxia, China",红葡萄酒,类人首酒庄,"('黑皮诺',)",咖啡、巧克力、草莓、樱桃,这款酒采用全法国进口设备酿造，经橡木桶陈酿。呈宝石红色，口感柔和、圆润、丝滑，有樱桃和草莓的果香，也有湿土、雪茄、蘑菇以及巧克力的味道。
类人首精选L3干红葡萄酒,1209,"Chateau Leirenshou Lux Regis L3, Ningxia, China",红葡萄酒,类人首酒庄,"('梅洛', '西拉', '赤霞珠')",,这款类人首L3呈漂亮的宝石红色，香气浓郁、纯正，具有成熟的果香，入口柔和，口感圆润厚实，具有贺兰山东麓的典型特征。
类人首L1干红葡萄酒,1474,"Chateau Leirenshou Lux Regis L1, Ningxia, China",红葡萄酒,类人首酒庄,"('梅洛', '赤霞珠', '蛇龙珠')",果香、青草香,这款葡萄酒呈现靓丽的红宝石色，果香浓郁，具有典型的青草香气，淡雅迷人，酒体醇厚、圆润、均衡。
类人首经典蛇龙珠干红葡萄酒,1148,"Chateau Leirenshou Classic Cabernet Gernischt, Ningxia, China",红葡萄酒,类人首酒庄,"('蛇龙珠',)",,这款由蛇龙珠酿造红葡萄酒呈现出靓丽的红宝石色，果味新鲜，表现出樱桃、李子等新鲜果味，口感甘醇，在后口可以明显到一丝新鲜的果梗气，果味平衡，酸度适中，非常容易饮用。
类人首珍藏L4整箱干红葡萄酒,1319,"Chateau Lux Regis L4, Ningxia, China",红葡萄酒,类人首酒庄,"('梅洛', '西拉', '赤霞珠')",馥郁果香、口感清新,这款葡萄酒呈现靓丽的红宝石色，带有紫色酒裙，淡雅迷人。经过前期10天的二氧化碳浸渍低温发酵工艺，保留酒体纯正馥郁的果香，酒体圆润平衡，口感活泼、喜人。
类人首金色阳光干红葡萄酒,1153,"Chateau Leirenshou Golden Sunlight, Ningxia, China",红葡萄酒,类人首酒庄,"('赤霞珠',)",草莓、樱桃、李子、醇香,这是一款十分易饮的葡萄酒，果香浓郁，表现出新鲜的草莓、樱桃、黑莓香气，酸度平衡，结构清新，回味中带有新鲜的果香。
类人首经典干红葡萄酒,1301,"Chateau Leirenshou Classic, Ningxia, China",红葡萄酒,类人首酒庄,"('赤霞珠', '蛇龙珠')",李子、樱桃、烘烤,这款葡萄酒呈现红宝石色，酒香浓郁，口感纯正，酸度适中，十分容易饮用，带有樱桃、李子、烘烤、香草等香气，余韵长。
类人首钻石梅鹿辄干红葡萄酒,929,"Chateau Leirenshou Diamond Merlot, Ningxia, China",红葡萄酒,类人首酒庄,"('梅洛',)",李子、醇香,这款葡萄酒采用法国酿酒工艺精心酿制，无菌灌装，经橡木桶陈酿，呈宝石红色，有芬芳的李子、黑莓等果香和醇厚的酒香，口味丰满柔顺，余韵悠长。
类人首经典赤霞珠干红葡萄酒,1193,"Chateau Leirenshou Classic Cabernet Sauvignon, Ningxia, China",红葡萄酒,类人首酒庄,"('赤霞珠',)",果香、橡木香,这款酒呈宝石红色，香气浓郁，口感饱满，结构坚实，口腔中可以明显感受到果香、橡木香气，是日常佐餐非常好的选择。
金色美域挹爽干红葡萄酒,6985,"Chateau Jinsemeiyu Yishuang, Ningxia, China",红葡萄酒,金色美域酒庄,"('西拉',)",黑樱桃、草莓、蓝莓,这款酒呈现出漂亮的红宝石色，香气以草莓、黑樱桃为主，单宁结实，质地细腻，酸度中等，回味中带有橡木桶赋予的芬芳。
金色美域庄主珍藏干红葡萄酒,3003,"Domaine Yishuang Cabernet Sauvignon, Ningxia, China",红葡萄酒,金色美域酒庄,"('西拉', '赤霞珠')",黑色水谷、红色水果、胡椒,这款酒为宝石红色，散发出清香的红色水果与黑色水果，口感辛辣，味觉上圆润饱满，余味绵长，单宁优雅，酒体强劲有力，具有强烈的胡椒和成熟的水果味。
立兰酒庄览翠黑皮诺干红葡萄酒,1790,"Chateau Lilan Lancui Pinot Noir, Ningxia, China",红葡萄酒,立兰酒庄,"('黑皮诺',)",草莓、黑樱桃、烤杏仁,这款葡萄酒颜色晶莹剔透，果香浓郁，带有草莓、黑樱桃以及烤杏仁的味道，同时带有淡淡的矿物质味，酸度适中，单宁明显，回味中带有枸杞的甜味和咖啡香气。
立兰酒庄览翠赤霞珠干红葡萄酒,1296,"Chateau Lilan Lancui Cabernet Sauvignon, Ningxia, China",红葡萄酒,立兰酒庄,"('赤霞珠',)",黑醋栗、黑樱桃、红樱桃、甘草,这款赤霞珠红葡萄酒呈现出明显的宝石红色，初闻时，散发出类似枸杞的甜味，细闻下去，成熟的蓝莓、野果味道浓郁而复杂，在口中表现出更多的新鲜红色水果味，单宁细腻，口感顺滑。
立兰酒庄览翠霞多丽干白葡萄酒,1587,"Chateau Lilan Lancui Chardonnay, Ningxia, China",白葡萄酒,立兰酒庄,"('霞多丽',)",柑橘、菠萝、花香、橡木桶赋予的香气。,这款白葡萄酒呈中等的麦穗黄，能明显感知到新橡木桶的使用，带有新橡木桶赋予的香气，同时带有明显的热带水果风味，菠萝、柑橘、淡淡的白花，口感清爽，酸味中等，余味悠长。
宁夏紫尚酒业珍藏卡本尼特干红葡萄酒,3069,"Purple Melody Winery Collection Series Cabernet, Ningxia, China",红葡萄酒,宁夏紫尚葡萄酒业,"('梅洛', '赤霞珠', '蛇龙珠')",黑醋栗红浆果,呈现深宝石红色，带有黑醋栗和黑橄榄的芳香，红浆果、黑巧克力气息相随。适宜与烤肉、奶酪、烤鸭、烤鸡、酱熏类搭配食用，建议在16-18℃饮用。
宁夏紫尚酒业贝特兰珍藏干红葡萄酒,2091,"Purple Melody Winery Beitelan Reserve Red Wine, Ningxia, China",红葡萄酒,宁夏紫尚葡萄酒业,"('赤霞珠',)",香气复杂富有层次,这款葡萄酒选用中国宁夏贺兰山东麓产区的优质蛇龙珠葡萄酿制而成，酒液呈现出深宝石红色，散发着果香和橡木的味道，酒体呈现出宝石红色，饮用时口中香气复杂，富有层次，酒体平衡，具有浓郁的酒香，单宁丝滑，余韵悠长。适合烤鸭、烤鸡、烧肉、火腿、香菇、奶酪、酱熏类食物搭配。，建议在16-18℃饮用。
