葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
通化大酒窖560山红葡萄酒,1491,"Tonhwa Big Cellar 560 Wild Grape Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",,本品特别手工粒选长白山山葡萄，控温发酵，结合传统工艺，经地下大酒窖百年树龄橡木桶560天陈酿精制而成的一款传统红葡萄酒，本品香气浓郁、酒体圆润、酸甜适口。
通化雅士樽冰红葡萄酒,1583,"Tonhwa Yasay Red Icewine, Jilin, China",甜酒,通化葡萄酒,"('山葡萄',)",热带水果花香,采用长白山山葡萄为原料，经控温发酵结合传统工艺与橡木桶陈酿精制而成的低度红葡萄酒，酒质纯正，口感柔和，清爽舒畅。
通化雅士樽晚收冰红葡萄酒,1071,"Tonhwa Yasay Late Harvest Red Icewine, Jilin, China",甜酒,通化葡萄酒,"('山葡萄',)",,这款葡萄酒呈金黄色，带有晚收葡萄的特有香气，口感甜爽顺滑，香气浓郁。
通化雅士樽冰白葡萄酒,1623,"Tonhwa Yasay White Icewine, Jilin, China",甜酒,通化葡萄酒,"('山葡萄',)",热带水果花香,采用长白山山葡萄为原料，经控温发酵结合传统工艺与橡木桶陈酿精制而成的低度红葡萄酒，酒质纯正，口感柔和，清爽舒畅。
通化喜庆山红葡萄酒,979,"Tonhwa Festive Red Wild Grape Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",,采用长白山特产野生山葡萄为原料，采用独特工艺酿造而成。色泽晶红，清澈透明，酸甜适口，风味独特。
通化爽口起泡酒,1487,"Tonhwa Refreshing Sparkling Wine, Jilin, China",起泡酒,通化葡萄酒,"('山葡萄',)",,选用长白山山葡萄为原料，经现代先进的酿酒工艺及设备精心酿制而成的一款低酒度起泡酒，拥有瑰丽的色泽、优雅的酒香、丰富的泡沫以及清爽的口感。
通化特制高级山红葡萄酒,825,"Tonhwa Special Advanced Red Wild Grape Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",酒香浓郁风味独特,采用长白山特产野生山葡萄为原料，采用独特工艺酿造而成。色泽晶红，清澈透明，酸甜适口，风味独特。
通化红梅9度山红葡萄酒,1005,"Tonhwa Hong Mei 9° Wild Grape Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",果香浓郁风味优雅,选用长白山特有的山葡萄酿造而成，果香浓郁，甜润适口，和谐怡雅，风味独特。
通化红梅15度山红葡萄酒,1765,"Tonhwa Hong Mei 15° Wild Grape Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",果香浓郁风味优雅,选用长白山特有的山葡萄酿造而成，果香浓郁，甜润适口，和谐怡雅，风味独特。
通化红梅7度山红葡萄酒,733,"Tonhwa Hong Mei 7° Wild Grape Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",果香浓郁风味优雅,选用长白山特有的山葡萄酿造而成，果香浓郁，甜润适口，和谐怡雅，风味独特。
通化大酒窖360山红葡萄酒,779,"Tonhwa Big Cellar 360 Wild Grape Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",,本品特别手工粒选长白山山葡萄，控温发酵，结合传统工艺，经地下大酒窖百年树龄橡木桶360天陈酿精制而成的一款传统红葡萄酒，本品香气浓郁、酒体圆润、酸甜适口。
维格那酒庄LZ乐9系列精品干红葡萄酒,2911,"Vigena Estate LZ LE 9 Dry Red, Huanren, China",红葡萄酒,维格那酒庄,"('赤霞珠',)",黑樱桃黑莓,维格那酒庄LZ乐9系列精品干红葡萄酒选用优良葡萄为原料，采用现代高新技术精心酿制而成，酒体呈宝石红色，果香酒香优雅协调，口感醇厚柔顺，饮后回味悠长。
维格那酒庄LZ系列红冰葡萄酒,3410,"Vigena Estate LZ Red Icewine, Huanren, China",甜酒,维格那酒庄,"('威代尔',)",樱桃蜂蜜,冰葡萄酒是将葡萄推迟采摘，当气温低于-7℃时，使葡萄在树枝上保持一段时间，结冰，然后采收，在冰冻状态下压榨，用此葡萄汁发酵酿制而成。维格那酒庄LZ系列红冰葡萄酒具有酒体丰满、芳香浓郁、酸甜适度等特点，堪称葡萄酒中的极品。
维格那酒庄LZ乐7系列精品干红葡萄酒,2607,"Vigena Estate LZ LE 7 Dry Red, Huanren, China",红葡萄酒,维格那酒庄,"('赤霞珠',)",黑樱桃黑莓,维格那酒庄LZ乐7系列精品干红葡萄酒选用优良葡萄为原料，采用现代高新技术精心酿制而成，酒体呈宝石红色，果香酒香优雅协调，口感醇厚柔顺，饮后回味悠长。
维格那酒庄LZ系列白冰葡萄酒,3455,"Vigena Estate LZ White Icewine, Huanren, China",甜酒,维格那酒庄,"('威代尔',)",菠萝蜂蜜,冰葡萄酒是将葡萄推迟采摘，当气温低于-7℃时，使葡萄在树枝上保持一段时间，结冰，然后采收，在冰冻状态下压榨，用此葡萄汁发酵酿制而成。维格那酒庄LZ系列白冰葡萄酒具有酒体丰满、芳香浓郁、酸甜适度等特点，堪称葡萄酒中的极品。
维格那酒庄LZ乐7系列精品干白葡萄酒,1303,"Vigena Estate LZ LE 7 Dry White, Huanren, China",白葡萄酒,维格那酒庄,(),苹果梨子白桃,维格那酒庄LZ乐7系列精品干白葡萄酒选用优良葡萄为原料，采用现代高新技术低温控温发酵酿制而成，酒体呈黄色，果香酒香怡悦，口感爽口柔顺。
维格那酒庄LZ乐9系列精品干白葡萄酒,1506,"Vigena Estate LZ LE 9 Dry White, Huanren, China",白葡萄酒,维格那酒庄,(),青柠苹果,维格那酒庄LZ乐9系列精品干白葡萄酒选用优良品种为原料，采用现代高新技术低温控温发酵酿制而成，酒体呈黄色，果香酒香怡悦、优雅，口感爽口柔顺。
维格那酒庄精品白冰葡萄酒,3139,"Vigena Estate Fine White Icewine, Huanren, China",甜酒,维格那酒庄,"('威代尔',)",菠萝蜂蜜,维格那酒庄精品白冰葡萄酒是冰葡萄酒中的极品，它是以纯种威代尔葡萄在冰霜雪冻后，采用底纹采摘，精选紫红色颗粒，破冰榨汁，低温发酵，用地下酒窖进口橡木桶贮藏等特殊工艺方法酿制而成的。果汁的浓缩，赋予该酒金黄的色泽，香气纯正丰富，优雅怡悦，酒中含有丰厚的营养成分及酸甜平衡圆润的口味，余味悠长。
桓龙湖红钻红冰葡萄酒,1135,"Huan Long Hu Red Diamond Red Icewine, Huanren, China",甜酒,桓龙湖葡萄酒,"('威代尔',)",杏桃蜂蜜,桓龙湖红钻红冰葡萄酒是用北冰红、威代尔和双红葡萄酿造。该酒颜色呈宝石红色，酒质丰满，口感隽永，香气幽雅、余香持久，一般在12-18℃之间饮用最佳。
桓龙湖金钻白冰葡萄酒,1130,"Huan Long Hu Gold Diamond White Icewine, Huanren, China",甜酒,桓龙湖葡萄酒,"('威代尔',)",杏仁桃子芒果密瓜,桓龙湖金钻白冰葡萄酒是用威代尔葡萄酿造。该酒颜色呈深琥珀色，酒质醇厚甜美，口感芳香浓郁，并有杏仁、桃、芒果、密瓜和其它甜水果的风味。该冰酒闻起来还往往有干果和蜜一样的味道，是葡萄酒中的极品。
桓龙湖经典红冰葡萄酒,736,"Huan Long Hu Classic Red Icewine, Huanren, China",甜酒,桓龙湖葡萄酒,"('威代尔',)",荔枝菠萝杏桃,桓龙湖经典红冰葡萄酒是使用葡萄品种--威代尔，经过酿酒师精心酿造，细致调配而成的。该酒酒体呈现石榴红色，带有较浓的果香，尤其是荔枝等水果的香气，甜而不腻，回味悠长。
桓龙湖黑钻白冰葡萄酒,1051,"Huan Long Hu Black Diamond White Icewine, Huanren, China",甜酒,桓龙湖葡萄酒,"('威代尔',)",杏仁桃子芒果密瓜,桓龙湖黑钻钻白冰葡萄酒是用威代尔葡萄酿造。该酒颜色呈金黄色，酒质醇厚甜美，口感芳香浓郁，并有杏仁、桃、芒果、密瓜和其它甜水果的风味。该冰酒闻起来还有干果和蜜一样的味道，是葡萄酒中的极品。
桓龙湖枫情红冰葡萄酒,590,"Huan Long Hu Fengqing Red Icewine, Huanren, China",甜酒,桓龙湖葡萄酒,"('威代尔',)",荔枝蜂蜜菠萝,桓龙湖枫情红冰葡萄酒是使用葡萄品种--威代尔，经过酿酒师精心酿造，细致调配而成的。该酒酒体呈现石榴红色，带有清新的水果香气，尤其是荔枝等水果的香气，甜而不腻，回味悠长。
桓龙湖三星白冰葡萄酒,808,"Huan Long Hu Three-star White Icewine, Huanren, China",甜酒,桓龙湖葡萄酒,"('威代尔',)",杏桃蜂蜜,桓龙湖三星白冰葡萄酒使用经典的葡萄品种--威代尔进行精心酿造。该款冰葡萄酒酒体呈现艳丽的金黄色，香气浓郁，口感绵甜爽净，回味悠长，与鱼类、白肉、龙虾、牡蛎、奶酪制品和火锅等搭配口感较佳。
桓龙湖经典白冰葡萄酒,600,"Huan Long Hu Classic White Icewine, Huanren, China",甜酒,桓龙湖葡萄酒,"('威代尔',)",荔枝菠萝杏桃,桓龙湖经典白冰葡萄酒是使用葡萄品种威代尔酿制，经过酿酒师精心酿造，调配而成的。该酒酒体呈现稻草黄色，带有清新的水果香气，尤其是荔枝等水果的香气，甜而不腻，回味悠长，适宜与鱼类、白肉和龙虾等美食搭配。
桓龙湖枫情白冰葡萄酒,597,"Huan Long Hu Fengqing White Icewine, Huanren, China",甜酒,桓龙湖葡萄酒,"('威代尔',)",荔枝菠萝杏桃,桓龙湖枫情白冰葡萄酒是使用葡萄品种威代尔酿制，经过酿酒师精心酿造，调配而成的。该酒酒体呈现稻草黄色，带有清新的水果香气，尤其是荔枝等水果的香气，甜而不腻，回味悠长，适宜与鱼类、白肉和龙虾等美食搭配。
桓龙湖三星红冰葡萄酒,588,"Huan Long Hu Three-star Red Icewine, Huanren, China",甜酒,桓龙湖葡萄酒,"('威代尔',)",蜂蜜桃子,桓龙湖三星红冰葡萄酒是使用经典的葡萄品种--威代尔精心酿造而成的。该酒酒体呈现通透的宝石红色，香气优雅细腻，带有蜂蜜的香气，口感绵甜爽净，回味悠长，与鱼类、白肉、龙虾、牡蛎和奶酪制品搭配口感较佳。
清木园华龙有机冰葡萄酒,1030,"Qingmuyuan China Dragon Organic Icewine, Tonghua, China",甜酒,吉林省清木园山葡萄酒业,"('山葡萄',)",蜂蜜杏仁,酒液呈现深宝石红色，具有浓郁悦人的蜂蜜和杏仁的复合香气。果香突出，回味悠长，酒体平衡丰满醇和。
清木园华龙霜后原汁山葡萄酒,1192,"Qingmuyuan Hualong Frost-Aftereards Icewine, Tonghua, China",甜酒,吉林省清木园山葡萄酒业,"('山葡萄',)",,酒液呈深宝石红色，酒体醇厚，具有山葡萄独特的风格。
清木园北冰红冰山葡萄酒,757,"Qingmuyuan Arctic Red Icewine, Tonghua, China",甜酒,吉林省清木园山葡萄酒业,"('山葡萄',)",蜂蜜杏仁,呈深宝石红色，具有浓郁悦人的蜂蜜和杏仁复合香气，酒香果香突出，优雅回味余长。
清木园华龙脱醇红山葡萄酒,760,"Qingmuyuan Hualong Dealcoholization Sweet Red, Tonghua, China",甜酒,吉林省清木园山葡萄酒业,"('山葡萄',)",,酒液呈深宝石红色，酒体醇厚，具有山葡萄独特的风格。
清木园华龙干红山葡萄酒,669,"Qingmuyuan Hualong Dry Red, Tonghua, China",红葡萄酒,吉林省清木园山葡萄酒业,"('山葡萄',)",,酒液呈天然宝石红色，口感强劲细腻，具有浓郁的成熟浆果和矿物香。
清木园华龙蓝钻冰山葡萄酒,816,"Qingmuyuan Hualong Blue Diamond Icewine, Tonghua, China",甜酒,吉林省清木园山葡萄酒业,"('山葡萄',)",,葡萄酒液呈现深宝石红色，带有蜂蜜和浓厚果仁的香气。
清木园华龙银钻冰山葡萄酒,1000,"Qingmuyuan Hualong Silver Diamond Icewine, Tonghua, China",甜酒,吉林省清木园山葡萄酒业,"('山葡萄',)",,葡萄酒液呈现深宝石红色，带有蜂蜜和浓厚果仁的香气。
清木园华龙冰山葡萄酒,707,"Qingmuyuan Hualong Icewine, Tonghua, China",甜酒,吉林省清木园山葡萄酒业,"('山葡萄',)",,葡萄酒液呈现深宝石红色，带有蜂蜜和浓厚果仁的香气。
清木园华龙金钻冰山葡萄酒,673,"Qingmuyuan Hualong Golden Diamond Icewine, Tonghua, China",甜酒,吉林省清木园山葡萄酒业,"('山葡萄',)",,葡萄酒液呈现深宝石红色，带有蜂蜜和浓厚果仁的香气。
五女山红冰葡萄酒,1004,"Wunv Shan Red Icewine, Huanren, China",甜酒,五女山米兰酒业,(),蜂蜜杏仁,五女山红冰葡萄酒是该公司自主研发的新型冰葡萄酒，它是由名贵的北冰红葡萄为原料，采用特定的酿造工艺酿制而成。该酒呈宝石红，酒液色泽绚丽，香气芬芳，入口甘甜醇香，沁人心脾，回味悠长。
五女山窖藏红冰葡萄酒,1201,"Wunv Shan Cellar Reserve Red Icewine, Huanren, China",甜酒,五女山米兰酒业,(),花香果香蜜香,五女山窖藏红冰葡萄酒是该公司自主研发的葡萄酒。它是以优质的北冰红葡萄为原料，采用特定的酿造工艺后存放于地下酒窖精酿而成。冰酒色泽呈宝石红色，具有优雅怡悦的花香、果香、蜜香，诸香协调，入口甘美醇厚，余味绵长。
五女山冰葡萄酒,1035,"Wunv Shan Icewine, Huanren, China",甜酒,五女山米兰酒业,"('威代尔',)",杏果蜂蜜,五女山冰葡萄酒是以纯种的威代尔葡萄为原料，在气温低于-7℃冰雪严寒中，推迟采摘时间，经破冰榨汁、低温发酵等特殊工艺酿制而成。由于果汁较普通果汁浓缩了数倍以上，该酒具有优雅浓郁的芳香，纯柔爽净的口味，饮之令人心旷神怡。
五女山解百纳干红葡萄酒,686,"Wunv Shan Cabernet, Huanren, China",红葡萄酒,五女山米兰酒业,"('赤霞珠',)",黑加仑李子香草,五女山解百纳干红葡萄酒精选名贵酿酒葡萄品种赤霞珠为原料，采用先进工艺酿制，并经法国橡木桶陈酿而成。葡萄酒色泽亮丽，酒香馥郁，口感醇厚，回味悠长，在食用煎、炸、烤肉类时，佐以此酒最为适宜。
五女山窖藏冰葡萄酒,755,"Wunv Shan Cellar Reserve Icewine, Huanren, China",甜酒,五女山米兰酒业,"('威代尔',)",菠萝蜂蜜,"五女山窖藏冰葡萄酒是由纯种威代尔葡萄在冰雪严寒中，当气温低于-7℃推迟采摘时间，经破冰榨汁、低温发酵、地下酒窖窖藏等特殊工艺精酿而成。该品色泽晶亮金黄，口味甜润，细腻雅致，酒体丰满、肥硕，余香持久,饮之令人心旷神怡。"
五女山窖藏干红葡萄酒,945,"Wunv Shan Cellar Reserve Dry Red, Huanren, China",红葡萄酒,五女山米兰酒业,"('赤霞珠',)",红色浆果烘烤,五女山窖藏干红葡萄酒精选优质赤霞珠葡萄为原料，采用国外先进设备，将现代酿酒技术与传统工艺有机地结合起来，并经过法国橡木桶陈酿而成。该酒呈宝石红色，澄清透明，酒体醇厚，优雅怡人，是馈赠礼品，宴请宾朋首选佳酿。
五女山精制干白葡萄酒,735,"Wunv Shan Special Fine Dry White, Huanren, China",白葡萄酒,五女山米兰酒业,"('威代尔',)",菠萝芒果杏桃,五女山精制干白葡萄酒精选优质酿酒葡萄品种威代尔为原料，采用先进设备与现代工艺精心酿制而成的一种高级干白葡萄酒。该葡萄酒色泽晶亮透明，果香怡悦，口感和谐、柔顺。佐以海鲜饮用，最为适宜。
五女山橡木桶干红葡萄酒,900,"Wunv Shan Oak Barrel Aged Dry Red, Huanren, China",红葡萄酒,五女山米兰酒业,"('赤霞珠',)",红色浆果香草烟熏,五女山橡木桶干红葡萄酒精选优质赤霞珠葡萄为原料，采用国外先进设备，将现代酿酒技术与传统工艺有机地结合起来，并经过法国橡木桶陈酿而成。该酒呈宝石红色，澄清透明，酒体醇厚，优雅怡人，是馈赠礼品，宴请宾朋首选佳酿。
五女山窖藏解百纳干红葡萄酒,988,"Wunv Shan Cellar Reserve Cabernet, Huanren, China",红葡萄酒,五女山米兰酒业,"('赤霞珠',)",覆盆子咖啡烘烤,五女山窖藏解百纳干红葡萄酒精选名贵酿酒葡萄品种赤霞珠为原料，采用先进工艺酿制，并经法国橡木桶陈酿而成。葡萄酒色泽亮丽，酒香馥郁，口感醇厚，回味悠长，在食用煎、炸、烤肉类时，佐以此酒最为适宜。
五女山低糖冰葡萄酒,586,"Wunv Shan Low-sugar Icewine, Huanren, China",甜酒,五女山米兰酒业,"('威代尔',)",蜂蜜玫瑰,五女山低糖冰葡萄酒是选用世界名贵葡萄威代尔为原料，在零下8℃采摘，冰状榨汁，低温发酵等特殊工艺酿制而成。该款酒具有清新的果香、淡淡的花香、优雅的蜜香，口感圆润厚重，甜而不腻，舒顺爽口。
三合蔡龙麟冰葡萄酒,1424,"Sanhe Cai Longlin Ice Wine, Liaoning, China",甜酒,三合酒业,(),,
雪兰山经典干白葡萄酒,984,"Xuelanshan Classic White Wine, Jilin, China",白葡萄酒,吉林雪兰山葡萄酒业有限公司,(),轻盈清爽,这款葡萄酒选用中国吉林产区所产的优质白葡萄品种精心酿制而成的，酒液呈现出透亮的金黄色，晶莹剔透十分好看，酒体轻盈入口清爽，酸度适中，果香浓郁，是款易入口的白葡萄酒。
雪兰山左优红干红葡萄酒,731,"Xuelanshan Premuim Red Wine, Jilin, China",红葡萄酒,吉林雪兰山葡萄酒业有限公司,"('赤霞珠',)",入口醇厚结构平衡,这款葡萄酒选用中国吉林产区所产的优质赤霞珠精心酿制而成的，酒液呈现出漂亮额的宝石红色，色泽艳丽，散发着热带水果的香气，还有些微草本的气味，香气怡人。入口醇厚，结构平衡，单宁柔顺，是款不错的赤霞珠红葡萄酒。
雪兰山赤霞珠精选级干红葡萄酒,903,"Xuelanshan Cabernet Sauvignon Selection Red Wine, Jilin, China",红葡萄酒,吉林雪兰山葡萄酒业有限公司,"('赤霞珠',)",入口醇厚结构平衡,这款葡萄酒选用中国吉林产区优质的赤霞珠精心酿制而成，酒液呈现出漂亮的深宝石红色，色泽迷人，散发着覆盆子，草莓的香气，甜美的热带水果香气中带有些微青草的气息。入口醇厚，结构平衡，是款不错的赤霞珠干红葡萄酒。
芬河帝堡年冰酒,2174,"Chateaux Fenhe Internation Winery Ice Wine, Heilongjiang, China",白葡萄酒,芬河帝堡国际酒庄,"('威代尔',)",甜美清新,这款葡萄酒选用优质威代尔精心酿制而成，酒液呈现出天然的琥珀光泽，散发着蜂蜜、热带水果和野花的香气，适合与西施甜点、鹅肝酱和水果沙拉等食物搭配，最佳品饮温度为8-10℃。
芬河帝堡09年蓝莓酒,2610,"Chateaux Fenhe Internation Winery blueberry Wine, Heilongjiang, China",甜酒,芬河帝堡国际酒庄,(),馥郁香醇,这款葡萄酒选用100%蓝莓酿制而成，酒液中透着神秘邃蓝的精华，精致红润的色泽，馥郁，香醇的口感，在酒香与果香的交织中相机迸发。品饮前冰镇一下口味更佳，与新鲜水果、肥鹅肝酱或特选的乳酪形成很好的搭配。
芬河帝堡国际酒庄赤霞珠干红葡萄酒,1687,"Chateaux Fenhe Internation Winery Cabernet Sauvignon Red Wine, Heilongjiang, China",红葡萄酒,芬河帝堡国际酒庄,"('赤霞珠',)",圆润饱满平衡愉悦,"这款葡萄酒选用有知道饿赤霞珠精心酿制而成，酒液呈现出深浓明亮的宝石红色，入口圆润饱满,口感平衡愉悦,香气优雅纯正，适合搭配牛肉、烤羊肉、烤鸭、烧鹅等肉类。建议醒酒时间为30-60分钟，最佳品饮温度为16-18℃。"
芬河帝堡国际酒庄梅洛干红葡萄酒,991,"Chateaux Fenhe Internation Winery Merlot Red Wine, Heilongjiang, China",红葡萄酒,芬河帝堡国际酒庄,"('梅洛',)",柔顺自由奔放,这款葡萄酒带酒液呈现出栗色光芒的红宝石色泽，充沛着成熟莓类水果香气，混合着些许黑胡椒与一丝甘草香气，入口柔顺，橡木与果香完美结合。适合与烧烤及肉类，芝士，辣鱼等食物搭配，建议醒酒时间为30-60分钟，最佳品饮温度为16-18℃。
