葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
汉森特制白葡萄酒,2233,"Chateau Hansen Cuvee White Wine, Monogolia, China",白葡萄酒,汉森酒庄,(),结构平衡口感柔顺,这款葡萄酒以贺兰山北麓生长的优质酿酒葡萄为原料，由酿酒师采用独特的酿酒技术，经低温发酵精酿而成的半干白葡萄酒。酒液呈浅黄色，澄清透明，散发着浓郁的果香和花香，口感清爽、协调，风格独特，佐以海鲜、鱼类，味道更佳。
汉森沙漠酒窖窖藏精品红葡萄酒,1057,"Chateau Hansen Desert Cellar Finest Reserve Red Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('品丽珠', '赤霞珠', '蛇龙珠')",柔滑圆润酒体醇厚芳香持久,这款葡萄酒精选位于北纬39°世界酿酒葡萄黄金种植带的汉森葡萄园限产300公斤/亩的优质赤霞珠，品丽珠，蛇龙珠为原料。酒液呈深宝石红色微带瓦红色，浓郁的橡木香与酒香完美结合入口柔滑圆润，酒体醇厚，芳香持久。
汉森沙漠葡园特别精选葡萄酒,1034,"Chateau Hansen Desert Winery Sellection Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('梅洛', '赤霞珠')",丰满柔顺悠长余味,这款葡萄酒以产自贺兰山北麓乌兰布和沙漠的乌海地区生长的优质赤霞珠，梅洛葡萄为原料。酒液呈深宝石红色，具有怡人的果香和浓郁的酒香，酒体丰满柔顺，悠长余味，堪称佐餐葡萄酒之珍品。
汉森沙漠葡园精选赤霞珠干红葡萄酒,1729,"Chateau Hansen Desert Winery Sellection Cabernet Sauvignon Red Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('赤霞珠',)",果香浓郁口感天然味长纯正,这款葡萄酒以产自贺兰山北麓乌兰布和沙漠的乌海地区生长的优质赤霞珠葡萄为原料。酒液呈宝石红色，果香浓郁，口感天然，味长纯正，口感天然，带有独特的西部风情。
沙恩金沙臻堡酒庄美乐干红葡萄酒,4422,"Chateau Shaen Kinschab Merlot, Alashan, China",红葡萄酒,沙恩·金沙臻堡酒庄,"('梅洛',)",蓝莓、黑莓、甘草,这款酒酸度适中，入口绵软、细腻，以新鲜的红色水果和黑色水果等果香为主，单宁细致，有一点结构感，回味中以果香为主。适合搭配口味浓郁的菜肴。
沙恩金沙臻堡酒庄四星干红葡萄酒,6440,"Chateau Shaen Kinschab Four Star, Alashan, China",红葡萄酒,沙恩·金沙臻堡酒庄,"('品丽珠', '赤霞珠', '蛇龙珠')",黑醋栗、黑莓、蓝莓、烘烤橡木桶、咖啡、巧克力,这款酒经过橡木桶陈年12个月，呈现深红宝石色，带有明显的黑醋栗、蓝莓、车厘子等成熟的水果香味，在口腔中明显感受到烘烤橡木桶和香料气息，口感细腻，单宁丰富、细致，酸度适中。
沙恩赤霞珠橡木桶干红葡萄酒,1989,"Chateau Shaen Barrel Cuvee Cabernet Sauvignon, Alashan, China",红葡萄酒,沙恩·金沙臻堡酒庄,"('赤霞珠',)",,这款葡萄酒呈现新鲜的黑醋栗、黑樱桃等黑色水果香味，单宁细腻，回味悠长，口中明显感受到橡木桶赋予的烤面包、咖啡等香气，回味悠长。
沙恩金沙臻堡葡园优雅干红葡萄酒,4203,"Chateau Shaen Kinschab Puyuan Elegant, Wuhai, China",红葡萄酒,沙恩·金沙臻堡酒庄,"('品丽珠', '梅洛', '赤霞珠')",黑醋栗、红色浆果、黑胡椒,这款酒香气优雅，带有明显的黑醋栗、红色浆果和烤坚果的香味，口感丰满柔顺，回味绵长。适合搭配牛、羊肉，奶酪等。
沙恩橡木桶陈酿干红葡萄酒,2995,"Chateau Shaen Barrel Cuvee, Alashan, China",红葡萄酒,沙恩·金沙臻堡酒庄,"('梅洛', '赤霞珠')",黑醋栗、蓝莓,这款葡萄酒以新鲜水果味为主导，带有明显的黑醋栗、黑莓等成熟水果的香味，口感细腻、柔和。
沙恩金沙臻堡葡园赤霞珠干红葡萄酒,3148,"Chateau Shaen Kinschab Puyuan Cabernet Sauvignon, Alashan, China",红葡萄酒,沙恩·金沙臻堡酒庄,"('赤霞珠',)",黑醋栗、黑樱桃,这款酒呈宝石红色，表现出成熟的黑醋栗、黑樱桃香气，入口柔顺，酸度适中，平衡度好，层次丰富，回味绵长。
沙恩金沙臻堡时光五星干红葡萄酒,1538,"Chateau Shaen Kinschab Shiguang Five Star, Alashan, China",红葡萄酒,沙恩·金沙臻堡酒庄,"('品丽珠', '赤霞珠', '蛇龙珠')",蓝莓、黑醋栗、烘烤橡木桶,这款葡萄酒经过法国橡木桶15个月熟成，该酒呈深宝石红色，清澈透明，有浓郁的酒香和橡木香气，口感饱满柔顺，回味绵长，适合搭配牛羊肉。
沙恩金沙臻堡酒庄蛇龙珠干红葡萄酒,3059,"Chateau Shaen Kinschab Cabernet Gernischt, Alashan, China",红葡萄酒,沙恩·金沙臻堡酒庄,"('蛇龙珠',)",黑醋栗、黑樱桃、青草、烘烤橡木,这款酒清新优雅，色泽浓郁，以成熟的红色水果和黑色水果主导，带有淡淡的青梗与烘烤橡木味，单宁细腻，回味悠长。适合搭配牛排、烤乳猪、味道浓厚的菜肴。
沙恩金沙臻堡传奇干红葡萄酒,3300,"Chateau Shaen Kinschab Legend, Alashan, China",红葡萄酒,沙恩·金沙臻堡酒庄,"('蛇龙珠',)",黑醋栗、黑樱桃、青草,这款酒经橡木桶陈年12个月，呈现出深宝石红色，以黑色水果和红色水果的果香为主，如黑醋栗、黑樱桃、红樱桃等，口感柔和而多汁，酸度适中，带有特殊的青草味，余韵更加细腻，悠长。
沙恩金沙臻堡葡园三星干红葡萄酒,1255,"Chateau Shaen Kinschab Puyuan Three Star, Alashan, China",红葡萄酒,沙恩·金沙臻堡酒庄,"('梅洛', '赤霞珠', '蛇龙珠')",黑醋栗、黑樱桃、甘草、蓝莓,这款酒香气馥郁芬芳，带有蓝莓、黑莓、黑樱桃等水果香气，入口柔顺均和，单宁细腻协调，回味绵长，适合搭配川菜、烤肉、牛排、意大利面。
吉奥尼干红葡萄酒,2653,"Chateau Jiolis Dry Red, Wuhai, China",红葡萄酒,吉奥尼酒庄,"('赤霞珠',)",香草青椒红色浆果,这款葡萄酒具有特殊的橡木香气，风味独特，个性鲜明。该酒入口时果香与淡淡的橡木香味道完美结合，令人愉悦，回味持久。
吉奥尼酒窖干红葡萄酒,1913,"Chateau Jiolis Celler Aged Dry Red, Wuhai, China",红葡萄酒,吉奥尼酒庄,"('赤霞珠',)",奶油香草烟熏甘草,这款葡萄酒酒体强劲有力，入口圆润，微热，在口腔中发展良好，舒适、柔和、丰满以及圆润感一直持续至后味，酒体富有层次感，成熟的同时不乏鲜活的个性。
吉奥尼元年赤霞珠干红葡萄酒,1887,"Chateau Jiolis The First Year Cabernet Sauvignon, Wuhai, China",红葡萄酒,吉奥尼酒庄,"('赤霞珠',)",奶油香草焦糖黑巧克力,这款葡萄酒呈深宝石红色，香气纯正、舒适，以果香为主，具有奶油、香草、焦糖和黑巧克力等香气，具有品种的典型性，在成熟过程中形成烟熏和甘草的香气，微有木桶香气。葡萄酒入口圆润，在口腔中发展良好，舒适、柔和、丰满以及圆润感一直持续至后味；该酒酒度与酸度和单宁的平衡良好，和谐。
吉奥尼玫瑰红葡萄酒,3514,"Chateau Jiolis Rose Wine, Wuhai, China",桃红葡萄酒,吉奥尼酒庄,"('赤霞珠',)",红色水果,吉奥尼玫瑰红葡萄酒是选用世界名贵葡萄品种赤霞为原料，鲜破取流汁低温澄清并取上清液低温慢发酵，中途终止发酵精雕红琢而成。该葡萄酒呈深玫瑰红色，酒香甜美，口感肥硕圆润，酒体高贵典雅。
吉奥尼赤霞珠干红葡萄酒,1701,"Chateau Jiolis Cabernet Sauvignon, Wuhai, China",红葡萄酒,吉奥尼酒庄,"('赤霞珠',)",黑色浆果香草,这款葡萄酒呈深宝石红色，酸度、单宁与果香完美结合，酒体平衡丰满，结构感突出，酒香醇厚，口感平衡柔顺，回味悠长。
